"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Algeria","100","100","100","100","100","100","Source","renewable ressources","state of forest reccources","Africa"
"2","Algeria","40.948","40.948","40.625","40.625","40.625","40.625","Source","renewable ressources","Proportion of fish stocks not overexploited","Africa"
"3","Algeria","5","5","5","5","5","5","Source","renewable ressources","Surfacewater Stress","Africa"
"4","Algeria","5","5","5","5","5","5","Source","renewable ressources","Groundwater stress","Africa"
"5","Algeria","93.46875","93.46875","93.46875","93.46875","93.46875","93.46875","Source","non-renewables ressources","area with tolerable erosion","Africa"
"6","Algeria","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","Africa"
"7","Algeria","9.23018224257114","59.1565670167879","51.7196337193644","48.9734266989855","21.2725558847293","7.48350553964896","Sink","global System","Consumption of HCFC in ODP per capita","Africa"
"8","Algeria","100","100","100","100","100","100","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa"
"9","Algeria","74.749","73.8845","74.54","71.272","73.3715","73.0105","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa"
"10","Algeria","44.615","42.81","41.955","43.855","44.0133333333333","44.0133333333333","Human health and welfare","human health","Concentrations of PM2.5","Africa"
"11","Algeria","84.6054875","84.8186485","85.027069","85.23111","85.430743","85.6261865","Human health and welfare","human health","Drinking water contamination","Africa"
"12","Algeria","52.5","52.5","52.5","52.5","52.5","52.5","Human health and welfare","landscape and amenity","status of world heritage sites","Africa"
"13","Algeria","17.8872334799507","17.8872334799507","17.8518547943778","17.8518547943778","17.8518547943778","17.8518547943778","Source","renewable ressources","renewable ressources","Africa"
"14","Algeria","93.46875","93.46875","93.46875","93.46875","93.46875","93.46875","Source","non-renewable ressources","non-renewable ressources","Africa"
"15","Algeria","40.8888414402896","40.8888414402896","40.8483849474125","40.8483849474125","40.8483849474125","40.8483849474125","Source","Source","Source","Africa"
"16","Algeria","6.79344619562529","17.1983381489009","16.0809877991628","15.648231002095","10.3132332187169","6.11698681527472","Sink","global System","global System","Africa"
"17","Algeria",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Africa"
"18","Algeria","6.79344619562529","17.1983381489009","16.0809877991628","15.648231002095","10.3132332187169","6.11698681527472","Sink","Sink","Sink","Africa"
"19","Algeria","86.4575040120868","85.9560934431062","86.3365507765975","84.4227457501828","85.6571654912769","85.4461818924637","Life support","ecosystem health","ecosystem health","Africa"
"20","Algeria","86.4575040120868","85.9560934431062","86.3365507765975","84.4227457501828","85.6571654912769","85.4461818924637","Life support","Life support","Life support","Africa"
"21","Algeria","61.4383742038516","60.2584960174497","59.726967777504","61.1376343102184","61.3195871526654","61.3896887798486","Human health and welfare","human health","human health","Africa"
"22","Algeria","52.5","52.5","52.5","52.5","52.5","52.5","Human health and welfare","landscape and amenity","landscape and amenitys","Africa"
"23","Algeria","56.7936144799942","56.245631305161","55.9970160662062","56.6544420260801","56.7386845592576","56.7711076247597","Human health and welfare","Human health and welfare","Human health and welfare","Africa"
"24","Algeria","34.1742731997892","42.9402124183647","42.2145144124162","41.815124540599","37.8271108986662","33.180514493706","12","SESI","SESI","Africa"
