"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","American Samoa","73.4530733333333","72.39965","71.3462266666666","70.29274","69.2393166666667","68.18583","Source","renewable ressources","state of forest reccources","Oceania"
"2","American Samoa","86.4245","86.4245","84.6765","84.6765","84.6765","84.6765","Source","renewable ressources","Proportion of fish stocks not overexploited","Oceania"
"3","American Samoa",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Oceania"
"4","American Samoa","87.156","87.004","86.8615","86.7095","86.5575","86.4055","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Oceania"
"5","American Samoa","98.2990155","98.3714435","98.4438715","98.4438715","98.4438715","98.4438715","Human health and welfare","human health","Drinking water contamination","Oceania"
"6","American Samoa","79.6752479525271","79.1018555498226","77.7261137735575","77.1501341451199","76.5698569786114","75.9851132393379","Source","renewable ressources","renewable ressources","Oceania"
"7","American Samoa",NA,NA,NA,NA,NA,NA,"Source","non-renewable ressources","non-renewable ressources","Oceania"
"8","American Samoa","79.6752479525271","79.1018555498226","77.7261137735575","77.1501341451199","76.5698569786114","75.9851132393379","Source","Source","Source","Oceania"
"9","American Samoa",NA,NA,NA,NA,NA,NA,"Sink","global System","global System","Oceania"
"10","American Samoa",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Oceania"
"11","American Samoa",NA,NA,NA,NA,NA,NA,"Sink","Sink","Sink","Oceania"
"12","American Samoa","87.156","87.004","86.8615","86.7095","86.5575","86.4055","Life support","ecosystem health","ecosystem health","Oceania"
"13","American Samoa","87.156","87.004","86.8615","86.7095","86.5575","86.4055","Life support","Life support","Life support","Oceania"
"14","American Samoa","98.2990155","98.3714435","98.4438715","98.4438715","98.4438715","98.4438715","Human health and welfare","human health","human health","Oceania"
"15","American Samoa",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Oceania"
"16","American Samoa","98.2990155","98.3714435","98.4438715","98.4438715","98.4438715","98.4438715","Human health and welfare","Human health and welfare","Human health and welfare","Oceania"
"17","American Samoa","88.0487701196383","87.8075066082997","87.2691986145207","87.0022900412529","86.7328748417901","86.4608556532404","5","SESI layer","SESI layer","Oceania"
