"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Andorra","100","100","100","100","100","100","Source","renewable ressources","state of forest reccources","Europe"
"2","Andorra","44.30625","44.30625","44.30625","44.30625","44.30625","44.30625","Source","non-renewables ressources","area with tolerable erosion","Europe"
"3","Andorra","100","100","100","100","100",NA,"Sink","global System","Consumption of HCFC in ODP per capita","Europe"
"4","Andorra","100","100","100","100","100","86.7","Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe"
"5","Andorra","76.25","76.25","76.25","76.25","76.25",NA,"Sink","critical ecosystems","Proportion of ground water in good chemical status","Europe"
"6","Andorra","79.4664175","79.4391325","79.210865","79.1883258333333","79.1617066666667","78.7448525","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe"
"7","Andorra","84.3566666666667","87.1433333333333","86.3516666666667","86.6683333333333","88.8533333333333","88.8533333333333","Human health and welfare","human health","Concentrations of PM2.5","Europe"
"8","Andorra","91.108","91.108","91.108","91.108","91.108","91.108","Human health and welfare","human health","Drinking water contamination","Europe"
"9","Andorra","100","100","100","100","100","100","Source","renewable ressources","renewable ressources","Europe"
"10","Andorra","44.30625","44.30625","44.30625","44.30625","44.30625","44.30625","Source","non-renewable ressources","non-renewable ressources","Europe"
"11","Andorra","66.5629401393899","66.5629401393899","66.5629401393899","66.5629401393899","66.5629401393899","66.5629401393899","Source","Source","Source","Europe"
"12","Andorra","100","100","100","100","100",NA,"Sink","global System","global System","Europe"
"13","Andorra","87.3212459828649","87.3212459828649","87.3212459828649","87.3212459828649","87.3212459828649","86.7","Sink","critical ecosystems","critical ecosystems","Europe"
"14","Andorra","93.4458377793601","93.4458377793601","93.4458377793601","93.4458377793601","93.4458377793601","86.7","Sink","Sink","Sink","Europe"
"15","Andorra","79.4664175","79.4391325","79.210865","79.1883258333333","79.1617066666667","78.7448525","Life support","ecosystem health","ecosystem health","Europe"
"16","Andorra","79.4664175","79.4391325","79.210865","79.1883258333333","79.1617066666667","78.7448525","Life support","Life support","Life support","Europe"
"17","Andorra","87.6673667145687","89.1036184076344","88.6979573985031","88.8604440307009","89.9736044255943","89.9736044255943","Human health and welfare","human health","human health","Europe"
"18","Andorra",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Europe"
"19","Andorra","87.6673667145687","89.1036184076344","88.6979573985031","88.8604440307009","89.9736044255943","89.9736044255943","Human health and welfare","Human health and welfare","Human health and welfare","Europe"
"20","Andorra","81.1341169628694","81.4574054702693","81.3060210988402","81.3374447659461","81.5841290615566","79.9644992200315","8","SESI","SESI","Europe"
