"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Antigua and Barbuda","5","5","5","5","5","5","Source","renewable ressources","state of forest reccources","America"
"2","Antigua and Barbuda","62.323","62.323","63.33","63.33","63.33","63.33","Source","renewable ressources","Proportion of fish stocks not overexploited","America"
"3","Antigua and Barbuda","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","America"
"4","Antigua and Barbuda",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","America"
"5","Antigua and Barbuda","35.51875","35.51875","35.51875","35.51875","35.51875","35.51875","Source","non-renewables ressources","area with tolerable erosion","America"
"6","Antigua and Barbuda","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","America"
"7","Antigua and Barbuda","82.1573604060914","98.2318104906937","100","95.0169204737733","100","87.6086956521739","Sink","global System","Consumption of HCFC in ODP per capita","America"
"8","Antigua and Barbuda",NA,NA,NA,NA,NA,"5","Sink","critical ecosystems","Proportion of surface water in good chemical status","America"
"9","Antigua and Barbuda",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America"
"10","Antigua and Barbuda","79.974","80.4205","77.903","79.8505","79.9265","79.4325","Life support","ecosystem health","Aquatic habitats in favourable conservation status","America"
"11","Antigua and Barbuda","87.6816666666667","87.4916666666667","86.4783333333333","87.745","89.55","89.55","Human health and welfare","human health","Concentrations of PM2.5","America"
"12","Antigua and Barbuda","31.4682639973237","31.4682639973237","31.6368448082571","31.6368448082571","31.6368448082571","31.6368448082571","Source","renewable ressources","renewable ressources","America"
"13","Antigua and Barbuda","35.51875","35.51875","35.51875","35.51875","35.51875","35.51875","Source","non-renewable ressources","non-renewable ressources","America"
"14","Antigua and Barbuda","33.4322210128933","33.4322210128933","33.5216524284422","33.5216524284422","33.5216524284422","33.5216524284422","Source","Source","Source","America"
"15","Antigua and Barbuda","20.267876110497","22.1621084839297","22.3606797749979","21.7964355427411","22.3606797749979","20.9294882465117","Sink","global System","global System","America"
"16","Antigua and Barbuda",NA,NA,NA,NA,NA,"5","Sink","critical ecosystems","critical ecosystems","America"
"17","Antigua and Barbuda","20.267876110497","22.1621084839297","22.3606797749979","21.7964355427411","22.3606797749979","10.229733194593","Sink","Sink","Sink","America"
"18","Antigua and Barbuda","79.974","80.4205","77.903","79.8505","79.9265","79.4325","Life support","ecosystem health","ecosystem health","America"
"19","Antigua and Barbuda","79.974","80.4205","77.903","79.8505","79.9265","79.4325","Life support","Life support","Life support","America"
"20","Antigua and Barbuda","87.6816666666667","87.4916666666667","86.4783333333333","87.745","89.55","89.55","Human health and welfare","human health","human health","America"
"21","Antigua and Barbuda",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","America"
"22","Antigua and Barbuda","87.6816666666667","87.4916666666667","86.4783333333333","87.745","89.55","89.55","Human health and welfare","Human health and welfare","Human health and welfare","America"
"23","Antigua and Barbuda","46.6882688652248","47.7834431919251","47.4043262711157","47.5666677867626","48.127322578656","39.5196770391412","11","SESI layer","SESI layer","America"
