"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Argentina","5","5","5","5","5","5","Source","renewable ressources","state of forest reccources","America"
"2","Argentina","44.121","44.121","49.3365","49.3365","49.3365","49.3365","Source","renewable ressources","Proportion of fish stocks not overexploited","America"
"3","Argentina","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","America"
"4","Argentina","100","100","100","100","100","100","Source","renewable ressources","Groundwater stress","America"
"5","Argentina","97.50625","97.50625","97.50625","97.50625","97.50625","97.50625","Source","non-renewables ressources","area with tolerable erosion","America"
"6","Argentina","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","America"
"7","Argentina","22.2535961826478","39.8221935843405","34.729232698269","50.6725296924524","60.5540385218209","54.3157513403855","Sink","global System","Consumption of HCFC in ODP per capita","America"
"8","Argentina",NA,NA,NA,NA,NA,"5","Sink","critical ecosystems","Proportion of surface water in good chemical status","America"
"9","Argentina",NA,NA,NA,NA,NA,"25.805","Sink","critical ecosystems","Proportion of ground water in good chemical status","America"
"10","Argentina","62.9096075","62.8691616666667","62.8237433333333","62.7615658333333","62.7218566666667","62.6773875","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America"
"11","Argentina","67.491","67.4435","67.396","67.3485","67.301","67.2535","Life support","ecosystem health","Aquatic habitats in favourable conservation status","America"
"12","Argentina","70.93","71.7216666666667","73.9066666666667","75.9333333333333","77.7066666666667","77.7066666666667","Human health and welfare","human health","Concentrations of PM2.5","America"
"13","Argentina","52.5","52.5","52.5","52.5","52.5","57.25","Human health and welfare","landscape and amenity","status of world heritage sites","America"
"14","Argentina","38.5393013922499","38.5393013922499","39.630959333298","39.630959333298","39.630959333298","39.630959333298","Source","renewable ressources","renewable ressources","America"
"15","Argentina","97.50625","97.50625","97.50625","97.50625","97.50625","97.50625","Source","non-renewable ressources","non-renewable ressources","America"
"16","Argentina","61.3010828320191","61.3010828320191","62.163222475129","62.163222475129","62.163222475129","62.163222475129","Source","Source","Source","America"
"17","Argentina","10.5483638974601","14.1106685852125","13.1774869945428","15.917369395169","17.4002928886012","16.4796467408111","Sink","global System","global System","America"
"18","Argentina",NA,NA,NA,NA,NA,"11.3589172019167","Sink","critical ecosystems","critical ecosystems","America"
"19","Argentina","10.5483638974601","14.1106685852125","13.1774869945428","15.917369395169","17.4002928886012","13.6817741117777","Sink","Sink","Sink","America"
"20","Argentina","65.1600515636882","65.1161754471639","65.0697241863936","65.0145931043658","64.9710987710946","64.925139046684","Life support","ecosystem health","ecosystem health","America"
"21","Argentina","65.1600515636882","65.1161754471639","65.0697241863936","65.0145931043658","64.9710987710946","64.925139046684","Life support","Life support","Life support","America"
"22","Argentina","70.93","71.7216666666667","73.9066666666667","75.9333333333333","77.7066666666667","77.7066666666667","Human health and welfare","human health","human health","America"
"23","Argentina","52.5","52.5","52.5","52.5","52.5","57.25","Human health and welfare","landscape and amenity","landscape and amenitys","America"
"24","Argentina","61.0231513443873","61.3627533606503","62.2904487060416","63.1387361292574","63.8717464924829","66.6986256729977","Human health and welfare","Human health and welfare","Human health and welfare","America"
"25","Argentina","40.0435272192263","43.1173801816342","42.6866069583649","44.8929233644518","46.0288124665251","43.8077983471502","13","SESI","SESI","America"
