"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Australia","97.2501933333334","100","100","100","100","100","Source","renewable ressources","state of forest reccources","Oceania"
"2","Australia","81.4433365","81.4433365","77.8491635","77.8491635","77.8491635","77.8491635","Source","renewable ressources","Proportion of fish stocks not overexploited","Oceania"
"3","Australia","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","Oceania"
"4","Australia","100","100","100","100","100","100","Source","renewable ressources","Groundwater stress","Oceania"
"5","Australia","100","100","100","100","100","100","Source","non-renewables ressources","area with tolerable erosion","Oceania"
"6","Australia","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","Oceania"
"7","Australia","86.6766213567215","99.983388398568","100","99.2314948600668","99.7036140586606","96.8995069265086","Sink","global System","Consumption of HCFC in ODP per capita","Oceania"
"8","Australia",NA,NA,NA,NA,NA,"92.4","Sink","critical ecosystems","Proportion of surface water in good chemical status","Oceania"
"9","Australia",NA,NA,NA,NA,NA,"87.65","Sink","critical ecosystems","Proportion of ground water in good chemical status","Oceania"
"10","Australia","61.1287866666667","61.1378816666667","61.1503483333333","61.1648266666667","61.1812316666667","61.1649116666667","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Oceania"
"11","Australia","75.8985","74.3215","74.0365","73.5995","73.457","73.533","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Oceania"
"12","Australia","94.9333333333333","94.7116666666667","94.015","93.3183333333333","87.555","87.555","Human health and welfare","human health","Concentrations of PM2.5","Oceania"
"13","Australia","59.921875","59.921875","61.40625","61.40625","61.40625","52.5","Human health and welfare","landscape and amenity","status of world heritage sites","Oceania"
"14","Australia","94.3379658587496","94.997874691766","93.9319822994039","93.9319822994039","93.9319822994039","93.9319822994039","Source","renewable ressources","renewable ressources","Oceania"
"15","Australia","100","100","100","100","100","100","Source","non-renewable ressources","non-renewable ressources","Oceania"
"16","Australia","97.1277333508559","97.466853181872","96.9185133498259","96.9185133498259","96.9185133498259","96.9185133498259","Source","Source","Source","Oceania"
"17","Australia","20.8178554799386","22.3588224643616","22.3606797749979","22.2745925731613","22.3275182296041","22.0113047008246","Sink","global System","global System","Oceania"
"18","Australia",NA,NA,NA,NA,NA,"89.9936664438115","Sink","critical ecosystems","critical ecosystems","Oceania"
"19","Australia","20.8178554799386","22.3588224643616","22.3606797749979","22.2745925731613","22.3275182296041","44.5070557691599","Sink","Sink","Sink","Oceania"
"20","Australia","68.1144860864413","67.4081528621662","67.2856430777089","67.09471410069","67.0387181749348","67.0644425130412","Life support","ecosystem health","ecosystem health","Oceania"
"21","Australia","68.1144860864413","67.4081528621662","67.2856430777089","67.09471410069","67.0387181749348","67.0644425130412","Life support","Life support","Life support","Oceania"
"22","Australia","94.9333333333333","94.7116666666667","94.015","93.3183333333333","87.555","87.555","Human health and welfare","human health","human health","Oceania"
"23","Australia","59.921875","59.921875","61.40625","61.40625","61.40625","52.5","Human health and welfare","landscape and amenity","landscape and amenitys","Oceania"
"24","Australia","75.4226977330653","75.3345913312183","75.9809752092588","75.6989359651111","73.3241039409961","67.7985066207214","Human health and welfare","Human health and welfare","Human health and welfare","Oceania"
"25","Australia","56.7714775467437","57.6770691768079","57.6938809721492","57.5438146781944","57.1090473463944","66.5483074035102","13","SESI","SESI","Oceania"
