"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Azerbaijan",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Asia"
"2","Azerbaijan","38.7186666666667","39.77","41.1253333333333","41.3913333333333","43.76","43.76","Source","renewable ressources","Surfacewater Stress","Asia"
"3","Azerbaijan","12.636974","13.8043973333333","13.6098373333333","14.1935426666667","19.4470046666667","19.4470046666667","Source","renewable ressources","Groundwater stress","Asia"
"4","Azerbaijan","95.4875","95.4875","95.4875","95.4875","95.4875","95.4875","Source","non-renewables ressources","area with tolerable erosion","Asia"
"5","Azerbaijan","5.45247312499999","6.71897749999999","8.926300125","6.9063175","5","9.67075099999999","Sink","global System","CO2 emissions [tonnes per capita]","Asia"
"6","Azerbaijan","21.5106951871658","69.7727272727273","81.2032085561497","88.8235294117647","100","100","Sink","global System","Consumption of HCFC in ODP per capita","Asia"
"7","Azerbaijan","63.1347441666667","62.9299508333333","62.7358675","62.54296","62.3393425","62.082685","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia"
"8","Azerbaijan","21.8783333333333","24.5066666666667","28.8133333333333","30.46","37.8066666666667","37.8066666666667","Human health and welfare","human health","Concentrations of PM2.5","Asia"
"9","Azerbaijan","89.3644175","90.061005","90.75289","91.4396165","92.096741","92.6715005","Human health and welfare","human health","Drinking water contamination","Asia"
"10","Azerbaijan","22.1198278470094","23.4307678479957","23.6581718851178","24.2381858994622","29.1719201324379","29.1719201324379","Source","renewable ressources","renewable ressources","Asia"
"11","Azerbaijan","95.4875","95.4875","95.4875","95.4875","95.4875","95.4875","Source","non-renewable ressources","non-renewable ressources","Asia"
"12","Azerbaijan","45.9583187414565","47.3005860945241","47.5295664600487","48.1086663302455","52.778345215118","52.778345215118","Source","Source","Source","Asia"
"13","Azerbaijan","10.8298886147591","21.651821739962","26.9229309452957","24.7677914959779","22.3606797749979","31.0978311140825","Sink","global System","global System","Asia"
"14","Azerbaijan",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Asia"
"15","Azerbaijan","10.8298886147591","21.651821739962","26.9229309452957","24.7677914959779","22.3606797749979","31.0978311140825","Sink","Sink","Sink","Asia"
"16","Azerbaijan","63.1347441666667","62.9299508333333","62.7358675","62.54296","62.3393425","62.082685","Life support","ecosystem health","ecosystem health","Asia"
"17","Azerbaijan","63.1347441666667","62.9299508333333","62.7358675","62.54296","62.3393425","62.082685","Life support","Life support","Life support","Asia"
"18","Azerbaijan","44.2170161160176","46.9797299821955","51.1360271289561","52.7754745936974","59.0073790984936","59.1912200322255","Human health and welfare","human health","human health","Asia"
"19","Azerbaijan",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Asia"
"20","Azerbaijan","44.2170161160176","46.9797299821955","51.1360271289561","52.7754745936974","59.0073790984936","59.1912200322255","Human health and welfare","Human health and welfare","Human health and welfare","Asia"
"21","Azerbaijan","34.3329795555226","41.7140366543734","45.0124104528484","44.5328300038291","45.6459582362542","49.5568180392365","9","SESI","SESI","Asia"
