"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Bahrain","100","100","100","100","100","100","Source","renewable ressources","state of forest reccources","Asia"
"2","Bahrain","68.3365","68.3365","69.8755","69.8755","69.8755","69.8755","Source","renewable ressources","Proportion of fish stocks not overexploited","Asia"
"3","Bahrain","5","5","5","5","5","5","Source","renewable ressources","Surfacewater Stress","Asia"
"4","Bahrain","5","5","5","5","5","5","Source","renewable ressources","Groundwater stress","Asia"
"5","Bahrain","100","100","100","100","100","100","Source","non-renewables ressources","area with tolerable erosion","Asia"
"6","Bahrain","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","Asia"
"7","Bahrain","6.4691826060808","6.89769419952101","10.0809231793627","17.3452149538733","24.7115332982505","7.66118337728906","Sink","global System","Consumption of HCFC in ODP per capita","Asia"
"8","Bahrain",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia"
"9","Bahrain","86.529","86.529","80.031","80.012","78.5775","78.606","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia"
"10","Bahrain","5","5","5","5","5","5","Human health and welfare","human health","Concentrations of PM2.5","Asia"
"11","Bahrain","99.096968","99.104986","99.113004","99.121022","99.1290305","99.1370485","Human health and welfare","human health","Drinking water contamination","Asia"
"12","Bahrain","20.3305058733903","20.3305058733903","20.4440170417007","20.4440170417007","20.4440170417007","20.4440170417007","Source","renewable ressources","renewable ressources","Asia"
"13","Bahrain","100","100","100","100","100","100","Source","non-renewable ressources","non-renewable ressources","Asia"
"14","Bahrain","45.0893622414315","45.0893622414315","45.2150605901404","45.2150605901404","45.2150605901404","45.2150605901404","Source","Source","Source","Asia"
"15","Bahrain","5.6873467478609","5.87268856637273","7.099620827679","9.31268354285522","11.1156496207488","6.18917739982021","Sink","global System","global System","Asia"
"16","Bahrain",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Asia"
"17","Bahrain","5.6873467478609","5.87268856637273","7.099620827679","9.31268354285522","11.1156496207488","6.18917739982021","Sink","Sink","Sink","Asia"
"18","Bahrain","86.529","86.529","80.031","80.012","78.5775","78.606","Life support","ecosystem health","ecosystem health","Asia"
"19","Bahrain","86.529","86.529","80.031","80.012","78.5775","78.606","Life support","Life support","Life support","Asia"
"20","Bahrain","22.2594887632219","22.260389259849","22.2612897200499","22.2621901438291","22.2630894644027","22.2639898153947","Human health and welfare","human health","human health","Asia"
"21","Bahrain",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Asia"
"22","Bahrain","22.2594887632219","22.260389259849","22.2612897200499","22.2621901438291","22.2630894644027","22.2639898153947","Human health and welfare","Human health and welfare","Human health and welfare","Asia"
"23","Bahrain","26.5103320552454","26.7239946123419","27.4999376596728","29.4286435121363","30.6214252833535","26.4541422770892","11","SESI","SESI","Asia"
