"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Belarus",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Europe"
"2","Belarus","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","Europe"
"3","Belarus","100","100","100","100","100","100","Source","renewable ressources","Groundwater stress","Europe"
"4","Belarus","100","100","100","100","100","100","Source","non-renewables ressources","area with tolerable erosion","Europe"
"5","Belarus","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","Europe"
"6","Belarus","14.5076060848679","34.4735788630905","50.2562049639712","79.1593274619696","100","100","Sink","global System","Consumption of HCFC in ODP per capita","Europe"
"7","Belarus",NA,NA,NA,NA,NA,"92.59","Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe"
"8","Belarus",NA,NA,NA,NA,NA,"64.66","Sink","critical ecosystems","Proportion of ground water in good chemical status","Europe"
"9","Belarus","71.2705191666667","71.2035533333333","71.136715","71.0792266666667","71.0167516666667","70.9721408333333","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe"
"10","Belarus","63.615","69.03","70.3283333333333","64.8816666666667","66.8133333333333","66.8133333333333","Human health and welfare","human health","Concentrations of PM2.5","Europe"
"11","Belarus","98.8909415","98.951694","99.012171","99.0723345","99.1322035","99.191797","Human health and welfare","human health","Drinking water contamination","Europe"
"12","Belarus","52.5","52.5","28.75","28.75","28.75","28.75","Human health and welfare","landscape and amenity","status of world heritage sites","Europe"
"13","Belarus","100","100","100","100","100","100","Source","renewable ressources","renewable ressources","Europe"
"14","Belarus","100","100","100","100","100","100","Source","non-renewable ressources","non-renewable ressources","Europe"
"15","Belarus","100","100","100","100","100","100","Source","Source","Source","Europe"
"16","Belarus","8.51692611358931","13.1288953958607","15.8518461013175","19.8946384061095","22.3606797749979","22.3606797749979","Sink","global System","global System","Europe"
"17","Belarus",NA,NA,NA,NA,NA,"77.3748628431741","Sink","critical ecosystems","critical ecosystems","Europe"
"18","Belarus","8.51692611358931","13.1288953958607","15.8518461013175","19.8946384061095","22.3606797749979","41.5951262850661","Sink","Sink","Sink","Europe"
"19","Belarus","71.2705191666667","71.2035533333333","71.136715","71.0792266666667","71.0167516666667","70.9721408333333","Life support","ecosystem health","ecosystem health","Europe"
"20","Belarus","71.2705191666667","71.2035533333333","71.136715","71.0792266666667","71.0167516666667","70.9721408333333","Life support","Life support","Life support","Europe"
"21","Belarus","79.3154918255097","82.6476583867928","83.4467552763138","80.174672951734","81.3839846438679","81.4084430319935","Human health and welfare","human health","human health","Europe"
"22","Belarus","52.5","52.5","28.75","28.75","28.75","28.75","Human health and welfare","landscape and amenity","landscape and amenitys","Europe"
"23","Belarus","64.5295538558827","65.8711018983789","48.9805493455721","48.010643063412","48.3713712697005","48.3786392653805","Human health and welfare","Human health and welfare","Human health and welfare","Europe"
"24","Belarus","44.4874861840115","49.8145482166404","48.4785170416353","51.0451009210221","52.6451722832455","61.4746408886323","12","SESI layer","SESI layer","Europe"
