"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Bermuda","100","100","100","100","100","100","Source","renewable ressources","state of forest reccources","America"
"2","Bermuda","75.2145","75.2145","58.4375","58.4375","58.4375","58.4375","Source","renewable ressources","Proportion of fish stocks not overexploited","America"
"3","Bermuda","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","America"
"4","Bermuda",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America"
"5","Bermuda","80.8765","80.829","80.6865","80.544","80.4015","80.259","Life support","ecosystem health","Aquatic habitats in favourable conservation status","America"
"6","Bermuda","86.7262935908136","86.7262935908136","76.4444242571033","76.4444242571033","76.4444242571033","76.4444242571033","Source","renewable ressources","renewable ressources","America"
"7","Bermuda",NA,NA,NA,NA,NA,NA,"Source","non-renewable ressources","non-renewable ressources","America"
"8","Bermuda","86.7262935908136","86.7262935908136","76.4444242571033","76.4444242571033","76.4444242571033","76.4444242571033","Source","Source","Source","America"
"9","Bermuda","5","5","5","5","5","5","Sink","global System","global System","America"
"10","Bermuda",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","America"
"11","Bermuda","5","5","5","5","5","5","Sink","Sink","Sink","America"
"12","Bermuda","80.8765","80.829","80.6865","80.544","80.4015","80.259","Life support","ecosystem health","ecosystem health","America"
"13","Bermuda","80.8765","80.829","80.6865","80.544","80.4015","80.259","Life support","Life support","Life support","America"
"14","Bermuda",NA,NA,NA,NA,NA,NA,"Human health and welfare","human health","human health","America"
"15","Bermuda",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","America"
"16","Bermuda",NA,NA,NA,NA,NA,NA,"Human health and welfare","Human health and welfare","Human health and welfare","America"
"17","Bermuda","32.732640931362","32.7262315502703","31.3597240075267","31.3412517145292","31.3227576209708","31.3042416624161","5","SESI layer","SESI layer","America"
