"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Bolivia","39.3773966666667","36.3337233333333","33.4881566666667","30.85729","28.4421366666667","26.2405433333333","Source","renewable ressources","state of forest reccources","America"
"2","Bolivia","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","America"
"3","Bolivia",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","America"
"4","Bolivia","67.9375","67.9375","67.9375","67.9375","67.9375","67.9375","Source","non-renewables ressources","area with tolerable erosion","America"
"5","Bolivia","28.506821375","27.30194825","27.114586875","27.579507375","31.19935175","26.79130425","Sink","global System","CO2 emissions [tonnes per capita]","America"
"6","Bolivia","70.1824817518248","47.2992700729927","64.6350364963504","46.4324817518248","66.3686131386861","52.9773869346734","Sink","global System","Consumption of HCFC in ODP per capita","America"
"7","Bolivia","76.42227","76.2612941666667","76.1117366666667","75.9292133333333","75.7622591666667","75.5697625","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America"
"8","Bolivia","31.9166666666667","32.2333333333333","39.295","37.8383333333333","35.9383333333333","35.9383333333333","Human health and welfare","human health","Concentrations of PM2.5","America"
"9","Bolivia","52.5","52.5","52.5","52.5","52.5","52.5","Human health and welfare","landscape and amenity","status of world heritage sites","America"
"10","Bolivia","62.751411670708","60.2774612382882","57.8689525278164","55.5493384299039","53.3311697477814","51.2255242367839","Source","renewable ressources","renewable ressources","America"
"11","Bolivia","67.9375","67.9375","67.9375","67.9375","67.9375","67.9375","Source","non-renewable ressources","non-renewable ressources","America"
"12","Bolivia","65.292986073381","63.9929685424595","62.7014510387003","61.4319394092486","60.1929094224552","58.9926610082687","Source","Source","Source","America"
"13","Bolivia","44.7289556210903","35.9355287117863","41.8634961780438","35.7852619511721","45.5044800703572","37.674040024091","Sink","global System","global System","America"
"14","Bolivia",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","America"
"15","Bolivia","44.7289556210903","35.9355287117863","41.8634961780438","35.7852619511721","45.5044800703572","37.674040024091","Sink","Sink","Sink","America"
"16","Bolivia","76.42227","76.2612941666667","76.1117366666667","75.9292133333333","75.7622591666667","75.5697625","Life support","ecosystem health","ecosystem health","America"
"17","Bolivia","76.42227","76.2612941666667","76.1117366666667","75.9292133333333","75.7622591666667","75.5697625","Life support","Life support","Life support","America"
"18","Bolivia","31.9166666666667","32.2333333333333","39.295","37.8383333333333","35.9383333333333","35.9383333333333","Human health and welfare","human health","human health","America"
"19","Bolivia","52.5","52.5","52.5","52.5","52.5","52.5","Human health and welfare","landscape and amenity","landscape and amenitys","America"
"20","Bolivia","40.9343987374922","41.1369663441533","45.4201221927022","44.570309624233","43.4368794919708","43.4368794919708","Human health and welfare","Human health and welfare","Human health and welfare","America"
"21","Bolivia","54.9782497085441","51.8260586369782","54.8849476187715","52.2261779985607","54.7933377758145","51.971076680506","9","SESI layer","SESI layer","America"
