"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Brazil","12.07408","10.1224633333333","7.96849666666668","6.84173333333336","5.48652666666665","5","Source","renewable ressources","state of forest reccources","America"
"2","Brazil","44.121","44.121","49.3365","49.3365","49.3365","49.3365","Source","renewable ressources","Proportion of fish stocks not overexploited","America"
"3","Brazil","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","America"
"4","Brazil","100","100","100","100","100","100","Source","renewable ressources","Groundwater stress","America"
"5","Brazil","72.45","72.45","72.45","72.45","72.45","72.45","Source","non-renewables ressources","area with tolerable erosion","America"
"6","Brazil","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","America"
"7","Brazil","18.4879458431433","30.5159428116244","33.5557050005762","34.537794309257","33.4278495983069","50.4400701096806","Sink","global System","Consumption of HCFC in ODP per capita","America"
"8","Brazil","54.9225","54.9225","54.9225","54.9225","54.9225","63.3775","Sink","critical ecosystems","Proportion of surface water in good chemical status","America"
"9","Brazil","66.655","66.655","66.655","66.655","66.655","69.505","Sink","critical ecosystems","Proportion of ground water in good chemical status","America"
"10","Brazil","70.3316375","70.1395658333333","69.9578075","69.7815316666667","69.5899416666667","69.3917075","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America"
"11","Brazil","78.3495","76.1645","75.395","74.8915","74.7775","74.6635","Life support","ecosystem health","Aquatic habitats in favourable conservation status","America"
"12","Brazil","77.675","77.8333333333333","68.7766666666667","80.525","81.19","81.19","Human health and welfare","human health","Concentrations of PM2.5","America"
"13","Brazil","82.877485","83.55588","84.349529","85.080003","85.807076","86.4773865","Human health and welfare","human health","Drinking water contamination","America"
"14","Brazil","35.535717","35.535717","38.9285755","38.9285755","38.9285755","37.65625","Human health and welfare","landscape and amenity","status of world heritage sites","America"
"15","Brazil","48.0424170597938","45.9708876767891","44.5283069778793","42.8631041927989","40.5617288756296","39.630959333298","Source","renewable ressources","renewable ressources","America"
"16","Brazil","72.45","72.45","72.45","72.45","72.45","72.45","Source","non-renewable ressources","non-renewable ressources","America"
"17","Brazil","58.997229731421","57.7112711017819","56.7985549160131","55.7264021696025","54.209752416326","53.5841674722808","Source","Source","Source","America"
"18","Brazil","9.61455819139478","12.3523161414417","12.952934995702","13.1411175912205","12.9282345272483","15.8808170617384","Sink","global System","global System","America"
"19","Brazil","60.5050348111626","60.5050348111626","60.5050348111626","60.5050348111626","60.5050348111626","66.3705743345649","Sink","critical ecosystems","critical ecosystems","America"
"20","Brazil","24.1190625453041","27.3382025403357","27.9949599539216","28.1975846007132","27.9682548636491","32.4656579987182","Sink","Sink","Sink","America"
"21","Brazil","74.2323961105005","73.0899785327162","72.6255388720972","72.2913796992018","72.1371046201549","71.9793564358994","Life support","ecosystem health","ecosystem health","America"
"22","Brazil","74.2323961105005","73.0899785327162","72.6255388720972","72.2913796992018","72.1371046201549","71.9793564358994","Life support","Life support","Life support","America"
"23","Brazil","80.234086567836","80.6438631267129","76.166130527442","82.771173977267","83.4666190787671","83.7919984839543","Human health and welfare","human health","human health","America"
"24","Brazil","35.535717","35.535717","38.9285755","38.9285755","38.9285755","37.65625","Human health and welfare","landscape and amenity","landscape and amenitys","America"
"25","Brazil","53.3964024446228","53.5325835156272","54.4521713321001","56.764107457069","57.0020752476392","56.1719898429048","Human health and welfare","Human health and welfare","Human health and welfare","America"
"26","Brazil","48.7331383178933","49.845580544101","50.0760917858432","50.3916188019596","49.9686989350848","51.4988008043021","14","SESI layer","SESI layer","America"
