"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","British Virgin Islands","85.30312","85.30312","85.30312","85.30312","85.30312","85.30312","Source","renewable ressources","state of forest reccources","America"
"2","British Virgin Islands","62.323","62.323","63.33","63.33","63.33","63.33","Source","renewable ressources","Proportion of fish stocks not overexploited","America"
"3","British Virgin Islands","5","5","5","5","5","11.45447575","Sink","global System","CO2 emissions [tonnes per capita]","America"
"4","British Virgin Islands","75.1385","72.4215","70.0465","73.172","73.3525","73.4665","Life support","ecosystem health","Aquatic habitats in favourable conservation status","America"
"5","British Virgin Islands","72.9132796393085","72.9132796393085","73.4999767999963","73.4999767999963","73.4999767999963","73.4999767999963","Source","renewable ressources","renewable ressources","America"
"6","British Virgin Islands",NA,NA,NA,NA,NA,NA,"Source","non-renewable ressources","non-renewable ressources","America"
"7","British Virgin Islands","72.9132796393085","72.9132796393085","73.4999767999963","73.4999767999963","73.4999767999963","73.4999767999963","Source","Source","Source","America"
"8","British Virgin Islands","5","5","5","5","5","11.45447575","Sink","global System","global System","America"
"9","British Virgin Islands",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","America"
"10","British Virgin Islands","5","5","5","5","5","11.45447575","Sink","Sink","Sink","America"
"11","British Virgin Islands","75.1385","72.4215","70.0465","73.172","73.3525","73.4665","Life support","ecosystem health","ecosystem health","America"
"12","British Virgin Islands","75.1385","72.4215","70.0465","73.172","73.3525","73.4665","Life support","Life support","Life support","America"
"13","British Virgin Islands",NA,NA,NA,NA,NA,NA,"Human health and welfare","human health","human health","America"
"14","British Virgin Islands",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","America"
"15","British Virgin Islands",NA,NA,NA,NA,NA,NA,"Human health and welfare","Human health and welfare","Human health and welfare","America"
"16","British Virgin Islands","30.1448448405691","29.7770304083443","29.5266753351978","29.9594643318582","29.9840786782151","39.547338068127","4","SESI layer","SESI layer","America"
