"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Brunei Darussalam","51.6610233333333","51.6610233333333","51.6610233333333","51.6610233333333","51.6610233333333","51.6610233333333","Source","renewable ressources","state of forest reccources","Asia"
"2","Brunei Darussalam","83.4795","83.4795","78.6725","78.6725","78.6725","78.6725","Source","renewable ressources","Proportion of fish stocks not overexploited","Asia"
"3","Brunei Darussalam","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","Asia"
"4","Brunei Darussalam","100","100","100","100","100","100","Source","renewable ressources","Groundwater stress","Asia"
"5","Brunei Darussalam","100","100","100","100","100","100","Source","non-renewables ressources","area with tolerable erosion","Asia"
"6","Brunei Darussalam","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","Asia"
"7","Brunei Darussalam","38.3515234197363","35.2410186448386","40.425193269668","41.8076398362892","42.4988631195998","12.8424015009381","Sink","global System","Consumption of HCFC in ODP per capita","Asia"
"8","Brunei Darussalam","100","100","100","100","100","100","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia"
"9","Brunei Darussalam","83.223","80.24","77.466","76.7345","79.9645","80.4395","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia"
"10","Brunei Darussalam","91.1016666666667","90.785","93.5716666666667","94.6166666666667","94.11","94.11","Human health and welfare","human health","Concentrations of PM2.5","Asia"
"11","Brunei Darussalam","81.0374396105402","81.0374396105402","79.8447727102466","79.8447727102466","79.8447727102466","79.8447727102466","Source","renewable ressources","renewable ressources","Asia"
"12","Brunei Darussalam","100","100","100","100","100","100","Source","non-renewable ressources","non-renewable ressources","Asia"
"13","Brunei Darussalam","90.0207973806832","90.0207973806832","89.3559022730153","89.3559022730153","89.3559022730153","89.3559022730153","Source","Source","Source","Asia"
"14","Brunei Darussalam","13.8476574588875","13.2742266525848","14.2171011935746","14.4581533807553","14.5771847624292","8.01323951374789","Sink","global System","global System","Asia"
"15","Brunei Darussalam",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Asia"
"16","Brunei Darussalam","13.8476574588875","13.2742266525848","14.2171011935746","14.4581533807553","14.5771847624292","8.01323951374789","Sink","Sink","Sink","Asia"
"17","Brunei Darussalam","91.2266408457529","89.5767827062348","88.0147714875179","87.5982305757371","89.4228717946365","89.6880705556765","Life support","ecosystem health","ecosystem health","Asia"
"18","Brunei Darussalam","91.2266408457529","89.5767827062348","88.0147714875179","87.5982305757371","89.4228717946365","89.6880705556765","Life support","Life support","Life support","Asia"
"19","Brunei Darussalam","91.1016666666667","90.785","93.5716666666667","94.6166666666667","94.11","94.11","Human health and welfare","human health","human health","Asia"
"20","Brunei Darussalam",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Asia"
"21","Brunei Darussalam","91.1016666666667","90.785","93.5716666666667","94.6166666666667","94.11","94.11","Human health and welfare","Human health and welfare","Human health and welfare","Asia"
"22","Brunei Darussalam","56.733789549404","55.832928868406","56.8733169082513","57.2037845742967","57.5400615782562","49.5821615155734","10","SESI","SESI","Asia"
