"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Cabo Verde","100","100","100","100","100","100","Source","renewable ressources","state of forest reccources","Africa"
"2","Cabo Verde","59.283","59.283","59.283","59.283","59.283","59.283","Source","renewable ressources","Proportion of fish stocks not overexploited","Africa"
"3","Cabo Verde","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","Africa"
"4","Cabo Verde",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Africa"
"5","Cabo Verde","100","100","100","100","100","100","Sink","global System","CO2 emissions [tonnes per capita]","Africa"
"6","Cabo Verde","86.7817817817818","87.7327327327327","92.4874874874875","94.3893893893894","94.3893893893894","94.6995708154506","Sink","global System","Consumption of HCFC in ODP per capita","Africa"
"7","Cabo Verde","100","100","100","100","100","100","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa"
"8","Cabo Verde","88.8945","77.3615","74.9675","71.0725","74.0175","74.388","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa"
"9","Cabo Verde","10.13","15.0383333333333","12.6316666666667","17.0333333333333","17.4133333333333","17.4133333333333","Human health and welfare","human health","Concentrations of PM2.5","Africa"
"10","Cabo Verde","84.0059519592065","84.0059519592065","84.0059519592065","84.0059519592065","84.0059519592065","84.0059519592065","Source","renewable ressources","renewable ressources","Africa"
"11","Cabo Verde",NA,NA,NA,NA,NA,NA,"Source","non-renewable ressources","non-renewable ressources","Africa"
"12","Cabo Verde","84.0059519592065","84.0059519592065","84.0059519592065","84.0059519592065","84.0059519592065","84.0059519592065","Source","Source","Source","Africa"
"13","Cabo Verde","93.1567398430096","93.6657529370969","96.1704151428533","97.1542018594098","97.1542018594098","97.313704489887","Sink","global System","global System","Africa"
"14","Cabo Verde",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Africa"
"15","Cabo Verde","93.1567398430096","93.6657529370969","96.1704151428533","97.1542018594098","97.1542018594098","97.313704489887","Sink","Sink","Sink","Africa"
"16","Cabo Verde","94.2838798522844","87.9553864183428","86.5837744615006","84.3045075900453","86.0334237375219","86.248478247445","Life support","ecosystem health","ecosystem health","Africa"
"17","Cabo Verde","94.2838798522844","87.9553864183428","86.5837744615006","84.3045075900453","86.0334237375219","86.248478247445","Life support","Life support","Life support","Africa"
"18","Cabo Verde","10.13","15.0383333333333","12.6316666666667","17.0333333333333","17.4133333333333","17.4133333333333","Human health and welfare","human health","human health","Africa"
"19","Cabo Verde",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Africa"
"20","Cabo Verde","10.13","15.0383333333333","12.6316666666667","17.0333333333333","17.4133333333333","17.4133333333333","Human health and welfare","Human health and welfare","Human health and welfare","Africa"
"21","Cabo Verde","52.2868895862234","56.7986820531351","54.5207949876213","58.5100570892826","59.1330379551475","59.194227112904","9","SESI layer","SESI layer","Africa"
