"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Canada","97.9815033333334","97.9087333333333","97.8414733333334","97.77415","97.70689","97.6395666666667","Source","renewable ressources","state of forest reccources","America"
"2","Canada","80.8195","80.8195","71.557","71.557","71.557","71.557","Source","renewable ressources","Proportion of fish stocks not overexploited","America"
"3","Canada","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","America"
"4","Canada","100","100","100","100","100","100","Source","renewable ressources","Groundwater stress","America"
"5","Canada","100","100","100","100","100","100","Source","non-renewables ressources","area with tolerable erosion","America"
"6","Canada","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","America"
"7","Canada","85.781678012922","93.5227522278343","92.1282608444388","100","85.7267767773553","100","Sink","global System","Consumption of HCFC in ODP per capita","America"
"8","Canada",NA,NA,NA,NA,NA,"83.09","Sink","critical ecosystems","Proportion of surface water in good chemical status","America"
"9","Canada","100","100","100","100","100","100","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America"
"10","Canada","77.409","77.2095","77.2475","76.345","75.7845","75.49","Life support","ecosystem health","Aquatic habitats in favourable conservation status","America"
"11","Canada","93.1916666666667","95.8516666666667","93.9833333333333","93.3816666666667","95.5983333333333","95.5983333333333","Human health and welfare","human health","Concentrations of PM2.5","America"
"12","Canada","99.058094","99.071489","99.084846","99.098165","99.111408","99.126684","Human health and welfare","human health","Drinking water contamination","America"
"13","Canada","60.4166635","60.4166635","59.625","59.625","59.625","61.1363645","Human health and welfare","landscape and amenity","status of world heritage sites","America"
"14","Canada","94.3333080633102","94.3157880536991","91.4731799656332","91.457440553581","91.4417078293544","91.4259521546726","Source","renewable ressources","renewable ressources","America"
"15","Canada","100","100","100","100","100","100","Source","non-renewable ressources","non-renewable ressources","America"
"16","Canada","97.125335553248","97.116315855627","95.6416122645542","95.6333835820844","95.6251576884213","95.6169190858357","Source","Source","Source","America"
"17","Canada","20.7101035744539","21.6243788613493","21.4625558641601","22.3606797749979","20.703475164493","22.3606797749979","Sink","global System","global System","America"
"18","Canada",NA,NA,NA,NA,NA,"83.09","Sink","critical ecosystems","critical ecosystems","America"
"19","Canada","20.7101035744539","21.6243788613493","21.4625558641601","22.3606797749979","20.703475164493","43.1039311722791","Sink","Sink","Sink","America"
"20","Canada","87.9823846005551","87.8689364906621","87.8905569444181","87.3756258918928","87.0542934035996","86.8849814409832","Life support","ecosystem health","ecosystem health","America"
"21","Canada","87.9823846005551","87.8689364906621","87.8905569444181","87.3756258918928","87.0542934035996","86.8849814409832","Life support","Life support","Life support","America"
"22","Canada","96.080116968514","97.448280332689","96.5003839883552","96.1974626032742","97.3390231054329","97.3465242279353","Human health and welfare","human health","human health","America"
"23","Canada","60.4166635","60.4166635","59.625","59.625","59.625","61.1363645","Human health and welfare","landscape and amenity","landscape and amenitys","America"
"24","Canada","76.1895012185232","76.730046015324","75.8540400724027","75.7348909533791","76.1829328174063","77.1453990073752","Human health and welfare","Human health and welfare","Human health and welfare","America"
"25","Canada","60.5970406891171","61.3421745300738","60.8222266293916","61.3331410864982","60.1957492081935","72.4980945421768","13","SESI","SESI","America"
