"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Cayman Islands","81.15941","81.15941","81.15941","85.5072433333333","81.15941","81.15941","Source","renewable ressources","state of forest reccources","America"
"2","Cayman Islands","62.323","62.323","63.33","63.33","63.33","63.33","Source","renewable ressources","Proportion of fish stocks not overexploited","America"
"3","Cayman Islands","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","America"
"4","Cayman Islands",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America"
"5","Cayman Islands","80.62","80.3825","80.316","80.1545","79.9835","79.822","Life support","ecosystem health","Aquatic habitats in favourable conservation status","America"
"6","Cayman Islands","71.120305886786","71.120305886786","71.6925758729591","73.5878639471211","71.6925758729591","71.6925758729591","Source","renewable ressources","renewable ressources","America"
"7","Cayman Islands",NA,NA,NA,NA,NA,NA,"Source","non-renewable ressources","non-renewable ressources","America"
"8","Cayman Islands","71.120305886786","71.120305886786","71.6925758729591","73.5878639471211","71.6925758729591","71.6925758729591","Source","Source","Source","America"
"9","Cayman Islands","5","5","5","5","5","5","Sink","global System","global System","America"
"10","Cayman Islands",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","America"
"11","Cayman Islands","5","5","5","5","5","5","Sink","Sink","Sink","America"
"12","Cayman Islands","80.62","80.3825","80.316","80.1545","79.9835","79.822","Life support","ecosystem health","ecosystem health","America"
"13","Cayman Islands","80.62","80.3825","80.316","80.1545","79.9835","79.822","Life support","Life support","Life support","America"
"14","Cayman Islands",NA,NA,NA,NA,NA,NA,"Human health and welfare","human health","human health","America"
"15","Cayman Islands",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","America"
"16","Cayman Islands",NA,NA,NA,NA,NA,NA,"Human health and welfare","Human health and welfare","Human health and welfare","America"
"17","Cayman Islands","30.6056873899567","30.5756038694262","30.6489372514187","30.8959369485333","30.6065842666008","30.5859704567332","5","SESI layer","SESI layer","America"
