"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Central African Republic","80.3219533333333","79.5019766666666","78.6820633333334","77.86215","77.0422366666667","76.2223233333334","Source","renewable ressources","state of forest reccources","Africa"
"2","Central African Republic","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","Africa"
"3","Central African Republic",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Africa"
"4","Central African Republic","100","100","100","100","100","100","Source","non-renewables ressources","area with tolerable erosion","Africa"
"5","Central African Republic","97.494937875","96.45618175","96.508063625","96.315251625","96.3221605","96.687977","Sink","global System","CO2 emissions [tonnes per capita]","Africa"
"6","Central African Republic","8.07913136083716","12.9177663564384","15.8209473537991","17.7564013520396","27.4336713432421","12.9181893953965","Sink","global System","Consumption of HCFC in ODP per capita","Africa"
"7","Central African Republic","100","100","100","100","100","100","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa"
"8","Central African Republic","23.81","23.525","27.3566666666667","26.375","29.7","29.7","Human health and welfare","human health","Concentrations of PM2.5","Africa"
"9","Central African Republic","33.1365395","33.064767","32.996899","32.9331445","32.8735225","32.81809","Human health and welfare","human health","Drinking water contamination","Africa"
"10","Central African Republic","16.875","16.875","16.875","16.875","16.875","16.875","Human health and welfare","landscape and amenity","status of world heritage sites","Africa"
"11","Central African Republic","89.6225157721726","89.1638809533696","88.7029105121886","88.2395319570542","87.7737071489331","87.3053969313085","Source","renewable ressources","renewable ressources","Africa"
"12","Central African Republic","100","100","100","100","100","100","Source","non-renewable ressources","non-renewable ressources","Africa"
"13","Central African Republic","94.6691690954202","94.4266281053017","94.1822225858939","93.9358993979694","93.6876230613912","93.4373570534337","Source","Source","Source","Africa"
"14","Central African Republic","28.0655377662496","35.2987028016705","39.0749151480617","41.3547127202715","51.4049656572983","35.341669444775","Sink","global System","global System","Africa"
"15","Central African Republic",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Africa"
"16","Central African Republic","28.0655377662496","35.2987028016705","39.0749151480617","41.3547127202715","51.4049656572983","35.341669444775","Sink","Sink","Sink","Africa"
"17","Central African Republic","100","100","100","100","100","100","Life support","ecosystem health","ecosystem health","Africa"
"18","Central African Republic","100","100","100","100","100","100","Life support","Life support","Life support","Africa"
"19","Central African Republic","28.088805697199","27.8899380364138","30.044719452454","29.4722188880902","31.2464976957418","31.2201421040968","Human health and welfare","human health","human health","Africa"
"20","Central African Republic","16.875","16.875","16.875","16.875","16.875","16.875","Human health and welfare","landscape and amenity","landscape and amenitys","Africa"
"21","Central African Republic","21.771508816346","21.6943011955786","22.5167635498568","22.3012038629425","22.9626794737819","22.95299322543","Human health and welfare","Human health and welfare","Human health and welfare","Africa"
"22","Central African Republic","49.0419370247504","51.856084718904","53.652904378582","54.2526839902445","57.6670140291854","52.470080882336","10","SESI layer","SESI layer","Africa"
