"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Channel Islands",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Europe"
"2","Channel Islands","74.7965","74.7965","80.3445","80.3445","80.3445","80.3445","Source","renewable ressources","Proportion of fish stocks not overexploited","Europe"
"3","Channel Islands","94.181098","94.067117","93.953136",NA,NA,NA,"Human health and welfare","human health","Drinking water contamination","Europe"
"4","Channel Islands","74.7965","74.7965","80.3445","80.3445","80.3445","80.3445","Source","renewable ressources","renewable ressources","Europe"
"5","Channel Islands",NA,NA,NA,NA,NA,NA,"Source","non-renewable ressources","non-renewable ressources","Europe"
"6","Channel Islands","74.7965","74.7965","80.3445","80.3445","80.3445","80.3445","Source","Source","Source","Europe"
"7","Channel Islands",NA,NA,NA,NA,NA,NA,"Sink","global System","global System","Europe"
"8","Channel Islands",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Europe"
"9","Channel Islands",NA,NA,NA,NA,NA,NA,"Sink","Sink","Sink","Europe"
"10","Channel Islands",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","ecosystem health","Europe"
"11","Channel Islands",NA,NA,NA,NA,NA,NA,"Life support","Life support","Life support","Europe"
"12","Channel Islands","94.181098","94.067117","93.953136",NA,NA,NA,"Human health and welfare","human health","human health","Europe"
"13","Channel Islands",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Europe"
"14","Channel Islands","94.181098","94.067117","93.953136",NA,NA,NA,"Human health and welfare","Human health and welfare","Human health and welfare","Europe"
"15","Channel Islands","83.9310222537352","83.8802188641071","86.8827815815769","80.3445","80.3445","80.3445","3","SESI layer","SESI layer","Europe"
