"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Chile","100","100","100","100","100","100","Source","renewable ressources","state of forest reccources","America"
"2","Chile","86.4245","86.4245","84.6765","84.6765","84.6765","84.6765","Source","renewable ressources","Proportion of fish stocks not overexploited","America"
"3","Chile","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","America"
"4","Chile","100","100","100","100","100","100","Source","renewable ressources","Groundwater stress","America"
"5","Chile","54.75625","54.75625","54.75625","54.75625","54.75625","54.75625","Source","non-renewables ressources","area with tolerable erosion","America"
"6","Chile","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","America"
"7","Chile","18.5340407621866","23.7441012167436","20.2666887738183","54.1805474070862","61.4503992041425","55.2689979825151","Sink","global System","Consumption of HCFC in ODP per capita","America"
"8","Chile","86.32","86.32","86.32","86.32","86.32","84.8","Sink","critical ecosystems","Proportion of surface water in good chemical status","America"
"9","Chile","87.2304733333333","87.1457708333333","87.0656866666667","86.9882375","86.9128708333333","86.802215","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America"
"10","Chile","71.1675","71.386","71.272","71.177","71.158","71.6805","Life support","ecosystem health","Aquatic habitats in favourable conservation status","America"
"11","Chile","39.3583333333333","40.625","43.9816666666667","47.845","50.9483333333333","50.9483333333333","Human health and welfare","human health","Concentrations of PM2.5","America"
"12","Chile","98.4633465","98.6487485","98.831728","98.832792","98.832792","98.832792","Human health and welfare","human health","Drinking water contamination","America"
"13","Chile","96.4182442676211","96.4182442676211","95.9269695228456","95.9269695228456","95.9269695228456","95.9269695228456","Source","renewable ressources","renewable ressources","America"
"14","Chile","54.75625","54.75625","54.75625","54.75625","54.75625","54.75625","Source","non-renewable ressources","non-renewable ressources","America"
"15","Chile","72.6601781423561","72.6601781423561","72.4748309755553","72.4748309755553","72.4748309755553","72.4748309755553","Source","Source","Source","America"
"16","Chile","9.62653643897601","10.8958940011235","10.0664514039999","16.4591232158773","17.5286050791474","16.62362745951","Sink","global System","global System","America"
"17","Chile","86.32","86.32","86.32","86.32","86.32","84.8","Sink","critical ecosystems","critical ecosystems","America"
"18","Chile","28.8264223484707","30.6681197691834","29.4777218453745","37.692857625743","38.8981900662743","37.5457535357389","Sink","Sink","Sink","America"
"19","Chile","78.7907019320808","78.8732400545859","78.7740161481352","78.6864777489595","78.6418849135646","78.8798210717259","Life support","ecosystem health","ecosystem health","America"
"20","Chile","78.7907019320808","78.8732400545859","78.7740161481352","78.6864777489595","78.6418849135646","78.8798210717259","Life support","Life support","Life support","America"
"21","Chile","62.2523349976729","63.3056506783755","65.9301457376417","68.7652160124579","70.9603130706171","70.9603130706171","Human health and welfare","human health","human health","America"
"22","Chile",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","America"
"23","Chile","62.2523349976729","63.3056506783755","65.9301457376417","68.7652160124579","70.9603130706171","70.9603130706171","Human health and welfare","Human health and welfare","Human health and welfare","America"
"24","Chile","56.6147318637185","57.7549140532947","57.7147791036311","62.0052978531641","62.9791087760923","62.4715625818654","12","SESI","SESI","America"
