"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","China","100","100","100","100","100","100","Source","renewable ressources","state of forest reccources","Asia"
"2","China","83.5555","83.5555","67.111","67.111","67.111","67.111","Source","renewable ressources","Proportion of fish stocks not overexploited","Asia"
"3","China","28.0786666666667","29.206","28.484","28.18","29.0413333333333","25.9253333333333","Source","renewable ressources","Surfacewater Stress","Asia"
"4","China","100","100","100","100","100","100","Source","renewable ressources","Groundwater stress","Asia"
"5","China","47.75","47.75","47.75","47.75","47.75","47.75","Source","non-renewables ressources","area with tolerable erosion","Asia"
"6","China","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","Asia"
"7","China","26.2373900939586","22.1881296983302","20.0733054711973","21.2986888219046","22.1753549640189","19.0736015658265","Sink","global System","Consumption of HCFC in ODP per capita","Asia"
"8","China","52.4988925","52.5504875","52.6087408333333","52.6659175","52.7256158333333","52.765835","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia"
"9","China","77.7415","77.6465","77.4565","77.3425","77.276","76.9625","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia"
"10","China","5","5","5","5","5","5","Human health and welfare","human health","Concentrations of PM2.5","Asia"
"11","China","57.589283","57.589283","56.953125","56.953125","56.953125","56.4583365","Human health and welfare","landscape and amenity","status of world heritage sites","Asia"
"12","China","69.596577138489","70.284859468434","66.1224096427165","65.9452736443474","66.4435097948168","64.5846803993889","Source","renewable ressources","renewable ressources","Asia"
"13","China","47.75","47.75","47.75","47.75","47.75","47.75","Source","non-renewable ressources","non-renewable ressources","Asia"
"14","China","57.6475199671491","57.9318741248522","56.1902577004209","56.1149428986396","56.3265265456916","55.5330396167076","Source","Source","Source","Asia"
"15","China","11.4536871997533","10.5328366782957","10.0183096057163","10.3195660814553","10.5298041206897","9.76565450080702","Sink","global System","global System","Asia"
"16","China",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Asia"
"17","China","11.4536871997533","10.5328366782957","10.0183096057163","10.3195660814553","10.5298041206897","9.76565450080702","Sink","Sink","Sink","Asia"
"18","China","63.8853868368092","63.8777068128526","63.8348567348363","63.8225173762658","63.8312203325039","63.7259019252572","Life support","ecosystem health","ecosystem health","Asia"
"19","China","63.8853868368092","63.8777068128526","63.8348567348363","63.8225173762658","63.8312203325039","63.7259019252572","Life support","Life support","Life support","Asia"
"20","China","5","5","5","5","5","5","Human health and welfare","human health","human health","Asia"
"21","China","57.589283","57.589283","56.953125","56.953125","56.953125","56.4583365","Human health and welfare","landscape and amenity","landscape and amenitys","Asia"
"22","China","16.9689839118316","16.9689839118316","16.875","16.875","16.875","16.8015380992337","Human health and welfare","Human health and welfare","Human health and welfare","Asia"
"23","China","29.0867922076558","28.5178657871127","27.905466404646","28.1021416395394","28.2717406364548","27.6044728575402","11","SESI","SESI","Asia"
