"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Colombia","54.9851366666667","53.2710833333334","51.1216766666667","49.1718333333334","47.2220533333333","45.27221","Source","renewable ressources","state of forest reccources","America"
"2","Colombia","78.6946635","78.6946635","78.4476635","78.4476635","78.4476635","78.4476635","Source","renewable ressources","Proportion of fish stocks not overexploited","America"
"3","Colombia","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","America"
"4","Colombia","100","100","100","100","100","100","Source","renewable ressources","Groundwater stress","America"
"5","Colombia","90.38125","90.38125","90.38125","90.38125","90.38125","90.38125","Source","non-renewables ressources","area with tolerable erosion","America"
"6","Colombia","53.062742","52.399221625","55.676778625","53.48694075","51.452342375","57.976795125","Sink","global System","CO2 emissions [tonnes per capita]","America"
"7","Colombia","23.0621778589784","36.2607380340547","30.6257148374255","63.7255965024335","62.7237100743183","59.4212710123721","Sink","global System","Consumption of HCFC in ODP per capita","America"
"8","Colombia","64.6081058333333","64.5883858333333","64.5516091666667","64.4731116666667","64.4211058333333","64.3204233333333","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America"
"9","Colombia","80.8195","77.447","80.107","80.3255","74.312","74.0745","Life support","ecosystem health","Aquatic habitats in favourable conservation status","America"
"10","Colombia","60.955","62.3166666666667","65.4833333333333","69.22","71.3733333333333","71.3733333333333","Human health and welfare","human health","Concentrations of PM2.5","America"
"11","Colombia","81.5930945","81.9040105","82.183643","82.4854865","82.7048985","82.919855","Human health and welfare","human health","Drinking water contamination","America"
"12","Colombia","40.625","40.625","40.625","40.625","40.625","44.5833365","Human health and welfare","landscape and amenity","status of world heritage sites","America"
"13","Colombia","81.1050035938878","80.4654052480743","79.5785965313435","78.8086890909683","78.0155581788206","77.197445064767","Source","renewable ressources","renewable ressources","America"
"14","Colombia","90.38125","90.38125","90.38125","90.38125","90.38125","90.38125","Source","non-renewable ressources","non-renewable ressources","America"
"15","Colombia","85.6175893497947","85.2793287267056","84.8080952960771","84.3968472805891","83.971088284299","83.5296449277738","Source","Source","Source","America"
"16","Colombia","34.9820295821881","43.5893845853838","41.2933547345783","58.3822507649719","56.8091700852429","58.6945896616664","Sink","global System","global System","America"
"17","Colombia",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","America"
"18","Colombia","34.9820295821881","43.5893845853838","41.2933547345783","58.3822507649719","56.8091700852429","58.6945896616664","Sink","Sink","Sink","America"
"19","Colombia","72.2606034391983","70.7260681618466","71.9099141670616","71.9641225276932","69.1900369756128","69.0253808262221","Life support","ecosystem health","ecosystem health","America"
"20","Colombia","72.2606034391983","70.7260681618466","71.9099141670616","71.9641225276932","69.1900369756128","69.0253808262221","Life support","Life support","Life support","America"
"21","Colombia","70.5230960412793","71.4421788650911","73.35979068343","75.5621954123224","76.8304906201958","76.9302700558542","Human health and welfare","human health","human health","America"
"22","Colombia","40.625","40.625","40.625","40.625","40.625","44.5833365","Human health and welfare","landscape and amenity","landscape and amenitys","America"
"23","Colombia","53.5257020194689","53.8733562755684","54.5915881479404","55.405001476632","55.8680470523667","58.5645636621329","Human health and welfare","Human health and welfare","Human health and welfare","America"
"24","Colombia","58.3402100712299","61.3471673878911","60.8916852609633","66.5760486249034","65.5297965907016","66.7222383605917","12","SESI layer","SESI layer","America"
