"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Cote d'Ivoire","5","5","5","5","5","5","Source","renewable ressources","state of forest reccources","Africa"
"2","Cote d'Ivoire","59.283","59.283","59.283","59.283","59.283","59.283","Source","renewable ressources","Proportion of fish stocks not overexploited","Africa"
"3","Cote d'Ivoire","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","Africa"
"4","Cote d'Ivoire",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Africa"
"5","Cote d'Ivoire","84.44375","84.44375","84.44375","84.44375","84.44375","84.44375","Source","non-renewables ressources","area with tolerable erosion","Africa"
"6","Cote d'Ivoire","100","100","100","100","100","100","Sink","global System","CO2 emissions [tonnes per capita]","Africa"
"7","Cote d'Ivoire","15.1595386244498","18.8342653609529","22.1930653644534","25.5352376451644","31.6708673545293","11.9118556513515","Sink","global System","Consumption of HCFC in ODP per capita","Africa"
"8","Cote d'Ivoire",NA,NA,NA,NA,NA,"84.1825","Sink","critical ecosystems","Proportion of surface water in good chemical status","Africa"
"9","Cote d'Ivoire","41.8351041666667","41.7135116666667","41.5939166666667","41.4759083333333","41.36368","41.3139408333333","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa"
"10","Cote d'Ivoire","60.917","57.915","58.409","60.8695","60.366","60.727","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa"
"11","Cote d'Ivoire","5","5","5","5","5","5","Human health and welfare","human health","Concentrations of PM2.5","Africa"
"12","Cote d'Ivoire","47.9367795","48.02778","48.120443","48.2147115","48.3102245","48.406944","Human health and welfare","human health","Drinking water contamination","Africa"
"13","Cote d'Ivoire","20.8333365","20.8333365","28.75","28.75","28.75","36.6666635","Human health and welfare","landscape and amenity","status of world heritage sites","Africa"
"14","Cote d'Ivoire","30.9480573090988","30.9480573090988","30.9480573090988","30.9480573090988","30.9480573090988","30.9480573090988","Source","renewable ressources","renewable ressources","Africa"
"15","Cote d'Ivoire","84.44375","84.44375","84.44375","84.44375","84.44375","84.44375","Source","non-renewable ressources","non-renewable ressources","Africa"
"16","Cote d'Ivoire","51.1211308012177","51.1211308012177","51.1211308012177","51.1211308012177","51.1211308012177","51.1211308012177","Source","Source","Source","Africa"
"17","Cote d'Ivoire","38.9352521816025","43.3984623701726","47.1095164106504","50.5324031144022","56.2768756724548","34.5135562516405","Sink","global System","global System","Africa"
"18","Cote d'Ivoire",NA,NA,NA,NA,NA,"84.1825","Sink","critical ecosystems","critical ecosystems","Africa"
"19","Cote d'Ivoire","38.9352521816025","43.3984623701726","47.1095164106504","50.5324031144022","56.2768756724548","53.9021098766433","Sink","Sink","Sink","Africa"
"20","Cote d'Ivoire","50.4823636582206","49.1511752471393","49.2895432985875","50.2455749523859","49.9695898210101","50.0886382824072","Life support","ecosystem health","ecosystem health","Africa"
"21","Cote d'Ivoire","50.4823636582206","49.1511752471393","49.2895432985875","50.2455749523859","49.9695898210101","50.0886382824072","Life support","Life support","Life support","Africa"
"22","Cote d'Ivoire","15.4817278589956","15.4964157146096","15.5113576130524","15.5265436430649","15.541915020357","15.5574650891461","Human health and welfare","human health","human health","Africa"
"23","Cote d'Ivoire","20.8333365","20.8333365","28.75","28.75","28.75","36.6666635","Human health and welfare","landscape and amenity","landscape and amenitys","Africa"
"24","Cote d'Ivoire","17.9592885741023","17.9678057404445","21.117564522815","21.1278993214687","21.1383551118639","23.883892843017","Human health and welfare","Human health and welfare","Human health and welfare","Africa"
"25","Cote d'Ivoire","36.6516105666141","37.4132930890409","39.7902740670173","40.694070738278","41.7519584009481","42.6101083938753","13","SESI","SESI","Africa"
