"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Cuba","100","100","100","100","100","100","Source","renewable ressources","state of forest reccources","America"
"2","Cuba","62.323","62.323","63.33","63.33","63.33","63.33","Source","renewable ressources","Proportion of fish stocks not overexploited","America"
"3","Cuba","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","America"
"4","Cuba","24.9382706666667","24.9382706666667","24.9382706666667","24.9382706666667","24.9382706666667","24.9382706666667","Source","renewable ressources","Groundwater stress","America"
"5","Cuba","47.86875","47.86875","47.86875","47.86875","47.86875","47.86875","Source","non-renewables ressources","area with tolerable erosion","America"
"6","Cuba","42.24578075","46.21316125","48.8434215","47.939688875","50.004369","59.9256845","Sink","global System","CO2 emissions [tonnes per capita]","America"
"7","Cuba","17.7478847170809","21.3273400317292","40.4177683765203","39.2246166049709","61.2037281861449","89.237737920937","Sink","global System","Consumption of HCFC in ODP per capita","America"
"8","Cuba","46.2281733333333","46.1412183333333","46.0394025","45.943225","45.8164475","45.6781666666667","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America"
"9","Cuba","79.7175","79.4705","79.328","79.2045","79.062","78.8815","Life support","ecosystem health","Aquatic habitats in favourable conservation status","America"
"10","Cuba","70.9933333333333","70.0116666666667","69.0933333333333","70.6133333333333","73.6533333333333","73.6533333333333","Human health and welfare","human health","Concentrations of PM2.5","America"
"11","Cuba","52.5","52.5","52.5","52.5","52.5","52.5","Human health and welfare","landscape and amenity","status of world heritage sites","America"
"12","Cuba","62.7882922704465","62.7882922704465","63.0403993345288","63.0403993345288","63.0403993345288","63.0403993345288","Source","renewable ressources","renewable ressources","America"
"13","Cuba","47.86875","47.86875","47.86875","47.86875","47.86875","47.86875","Source","non-renewable ressources","non-renewable ressources","America"
"14","Cuba","54.8233259262965","54.8233259262965","54.9332787629204","54.9332787629204","54.9332787629204","54.9332787629204","Source","Source","Source","America"
"15","Cuba","27.3819876293536","31.3943275755332","44.4313188742328","43.3637627090116","55.3213684609816","73.1275086964116","Sink","global System","global System","America"
"16","Cuba",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","America"
"17","Cuba","27.3819876293536","31.3943275755332","44.4313188742328","43.3637627090116","55.3213684609816","73.1275086964116","Sink","Sink","Sink","America"
"18","Cuba","60.7058020925512","60.5546504536123","60.4335479805712","60.3233799161859","60.1858785118652","60.0263467480461","Life support","ecosystem health","ecosystem health","America"
"19","Cuba","60.7058020925512","60.5546504536123","60.4335479805712","60.3233799161859","60.1858785118652","60.0263467480461","Life support","Life support","Life support","America"
"20","Cuba","70.9933333333333","70.0116666666667","69.0933333333333","70.6133333333333","73.6533333333333","73.6533333333333","Human health and welfare","human health","human health","America"
"21","Cuba","52.5","52.5","52.5","52.5","52.5","52.5","Human health and welfare","landscape and amenity","landscape and amenitys","America"
"22","Cuba","61.0503890241495","60.6268298692914","60.2279005113079","60.8867801743531","62.1835991238847","62.1835991238847","Human health and welfare","Human health and welfare","Human health and welfare","America"
"23","Cuba","48.5665491949775","50.1368715744727","54.5946562143776","54.3867101224641","58.0730617551072","62.2276666772322","11","SESI","SESI","America"
