"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Czechia",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Europe"
"2","Czechia","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","Europe"
"3","Czechia","6.10723133333333","5.22145133333333","6.10723133333333","6.10723133333333","5.22145133333333","5.22145133333333","Source","renewable ressources","Groundwater stress","Europe"
"4","Czechia","100","100","100","100","100","100","Source","non-renewables ressources","area with tolerable erosion","Europe"
"5","Czechia","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","Europe"
"6","Czechia","100","100","100","100","100","100","Sink","global System","Consumption of HCFC in ODP per capita","Europe"
"7","Czechia","52.5","52.5","52.5","52.5","52.5","98.8125","Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe"
"8","Czechia","43.95","43.95","43.95","43.95","43.95","41.005","Sink","critical ecosystems","Proportion of ground water in good chemical status","Europe"
"9","Czechia","49.6720616666667","49.5667608333333","49.5564191666667","49.4936608333333","49.4644775","49.1967275","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe"
"10","Czechia","60.3533333333333","63.2033333333333","62.0316666666667","60.4166666666667","70.4233333333333","70.4233333333333","Human health and welfare","human health","Concentrations of PM2.5","Europe"
"11","Czechia","99.5419765","99.543088","99.544342","99.5457385","99.547268","99.54894","Human health and welfare","human health","Drinking water contamination","Europe"
"12","Czechia","24.712813140825","22.850495253568","24.712813140825","24.712813140825","22.850495253568","22.850495253568","Source","renewable ressources","renewable ressources","Europe"
"13","Czechia","100","100","100","100","100","100","Source","non-renewable ressources","non-renewable ressources","Europe"
"14","Czechia","49.7119836063951","47.8021916375892","49.7119836063951","49.7119836063951","47.8021916375892","47.8021916375892","Source","Source","Source","Europe"
"15","Czechia","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","Sink","global System","global System","Europe"
"16","Czechia","48.0351433848177","48.0351433848177","48.0351433848177","48.0351433848177","48.0351433848177","63.6538024198084","Sink","critical ecosystems","critical ecosystems","Europe"
"17","Czechia","32.7734413691028","32.7734413691028","32.7734413691028","32.7734413691028","32.7734413691028","37.7272089130686","Sink","Sink","Sink","Europe"
"18","Czechia","49.6720616666667","49.5667608333333","49.5564191666667","49.4936608333333","49.4644775","49.1967275","Life support","ecosystem health","ecosystem health","Europe"
"19","Czechia","49.6720616666667","49.5667608333333","49.5564191666667","49.4936608333333","49.4644775","49.1967275","Life support","Life support","Life support","Europe"
"20","Czechia","77.5092903358258","79.3186924494682","78.5805411122669","77.551413275592","83.7284326664883","83.7291358166319","Human health and welfare","human health","human health","Europe"
"21","Czechia",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Europe"
"22","Czechia","77.5092903358258","79.3186924494682","78.5805411122669","77.551413275592","83.7284326664883","83.7291358166319","Human health and welfare","Human health and welfare","Human health and welfare","Europe"
"23","Czechia","50.0451818294284","49.8177358061484","50.1879570971554","50.0069778008271","50.4700878566141","52.2070107633221","11","SESI layer","SESI layer","Europe"
