"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Democratic Republic of the Congo","22.7359933333334","18.0859966666667","13.4316933333334","8.78169666666667","5","5","Source","renewable ressources","state of forest reccources","Africa"
"2","Democratic Republic of the Congo","59.283","59.283","59.283","59.283","59.283","59.283","Source","renewable ressources","Proportion of fish stocks not overexploited","Africa"
"3","Democratic Republic of the Congo","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","Africa"
"4","Democratic Republic of the Congo",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Africa"
"5","Democratic Republic of the Congo","100","100","100","100","100","100","Source","non-renewables ressources","area with tolerable erosion","Africa"
"6","Democratic Republic of the Congo","100","100","100","100","100","100","Sink","global System","CO2 emissions [tonnes per capita]","Africa"
"7","Democratic Republic of the Congo","75.6474820143885","85.3197442046363","90.4996003197442","90.4996003197442","92.7857713828937","95.7399848387661","Sink","global System","Consumption of HCFC in ODP per capita","Africa"
"8","Democratic Republic of the Congo",NA,NA,NA,NA,NA,"67.7","Sink","critical ecosystems","Proportion of surface water in good chemical status","Africa"
"9","Democratic Republic of the Congo","100","100","100","100","100","100","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa"
"10","Democratic Republic of the Congo","68.422","64.261","62.5985","62.9975","63.406","63.1495","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa"
"11","Democratic Republic of the Congo","13.835","11.365","16.6533333333333","16.21","15.83","15.83","Human health and welfare","human health","Concentrations of PM2.5","Africa"
"12","Democratic Republic of the Congo","41.271171","41.780561","42.2912145","42.803445","43.31692","43.83163","Human health and welfare","human health","Drinking water contamination","Africa"
"13","Democratic Republic of the Congo","5","5","5","5","5","5","Human health and welfare","landscape and amenity","status of world heritage sites","Africa"
"14","Democratic Republic of the Congo","51.2721310601338","47.506992734352","43.021641816903","37.3395891357706","30.9480573090988","30.9480573090988","Source","renewable ressources","renewable ressources","Africa"
"15","Democratic Republic of the Congo","100","100","100","100","100","100","Source","non-renewable ressources","non-renewable ressources","Africa"
"16","Democratic Republic of the Congo","71.6045606509347","68.9253166364523","65.5908848979056","61.1061282816794","55.6309781588449","55.6309781588449","Source","Source","Source","Africa"
"17","Democratic Republic of the Congo","86.9755609435136","92.3686874458202","95.1312778846916","95.1312778846916","96.3253712076386","97.8468113117469","Sink","global System","global System","Africa"
"18","Democratic Republic of the Congo",NA,NA,NA,NA,NA,"67.7","Sink","critical ecosystems","critical ecosystems","Africa"
"19","Democratic Republic of the Congo","86.9755609435136","92.3686874458202","95.1312778846916","95.1312778846916","96.3253712076386","81.3893674002032","Sink","Sink","Sink","Africa"
"20","Democratic Republic of the Congo","82.7175918411555","80.1629590272215","79.1192138484705","79.370964464343","79.6278845631353","79.4666596756149","Life support","ecosystem health","ecosystem health","Africa"
"21","Democratic Republic of the Congo","82.7175918411555","80.1629590272215","79.1192138484705","79.370964464343","79.6278845631353","79.4666596756149","Life support","Life support","Life support","Africa"
"22","Democratic Republic of the Congo","23.8953269654341","21.7907337133241","26.5384568530274","26.3409157671103","26.1860047277167","26.3411218990384","Human health and welfare","human health","human health","Africa"
"23","Democratic Republic of the Congo","5","5","5","5","5","5","Human health and welfare","landscape and amenity","landscape and amenitys","Africa"
"24","Democratic Republic of the Congo","10.9305368041634","10.4380873998363","11.5192136999509","11.4762615356897","11.4424658023777","11.476306439582","Human health and welfare","Human health and welfare","Human health and welfare","Africa"
"25","Democratic Republic of the Congo","48.712938025747","48.0423842822927","48.8335059152159","47.9697602782712","47.0067848171798","45.0783349148491","13","SESI layer","SESI layer","Africa"
