"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Dominican Republic","100","100","100","100","100","100","Source","renewable ressources","state of forest reccources","America"
"2","Dominican Republic","62.323","62.323","63.33","63.33","63.33","63.33","Source","renewable ressources","Proportion of fish stocks not overexploited","America"
"3","Dominican Republic","23.43","23.43","23.43","23.43","23.43","23.43","Source","renewable ressources","Surfacewater Stress","America"
"4","Dominican Republic","100","100","100","100","100","100","Source","renewable ressources","Groundwater stress","America"
"5","Dominican Republic","24.475","24.475","24.475","24.475","24.475","24.475","Source","non-renewables ressources","area with tolerable erosion","America"
"6","Dominican Republic","57.852786875","55.69347725","58.240600625","53.9152245","49.886485875","55.683281375","Sink","global System","CO2 emissions [tonnes per capita]","America"
"7","Dominican Republic","10.6150490730643","13.0185387131952","8.50163576881135","31.9356597600872","21.6586695747001","17.5037821482602","Sink","global System","Consumption of HCFC in ODP per capita","America"
"8","Dominican Republic",NA,NA,NA,NA,NA,"70.9775","Sink","critical ecosystems","Proportion of surface water in good chemical status","America"
"9","Dominican Republic","49.7009758333333","48.90063","48.2133483333333","47.49694","46.8378358333333","45.8277808333333","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America"
"10","Dominican Republic","79.043","78.8625","78.6915","78.53","78.5015","78.34","Life support","ecosystem health","Aquatic habitats in favourable conservation status","America"
"11","Dominican Republic","90.9116666666667","90.4366666666667","89.4866666666667","90.5","91.7983333333333","91.7983333333333","Human health and welfare","human health","Concentrations of PM2.5","America"
"12","Dominican Republic","61.8166064336035","61.8166064336035","62.064811992251","62.064811992251","62.064811992251","62.064811992251","Source","renewable ressources","renewable ressources","America"
"13","Dominican Republic","24.475","24.475","24.475","24.475","24.475","24.475","Source","non-renewable ressources","non-renewable ressources","America"
"14","Dominican Republic","38.896805041834","38.896805041834","38.9748158880878","38.9748158880878","38.9748158880878","38.9748158880878","Source","Source","Source","America"
"15","Dominican Republic","24.7812463708276","26.9267095957078","22.2517498968184","41.4947980537406","32.8705782396594","31.2196737088695","Sink","global System","global System","America"
"16","Dominican Republic",NA,NA,NA,NA,NA,"70.9775","Sink","critical ecosystems","critical ecosystems","America"
"17","Dominican Republic","24.7812463708276","26.9267095957078","22.2517498968184","41.4947980537406","32.8705782396594","47.0732874427874","Sink","Sink","Sink","America"
"18","Dominican Republic","62.6778607866778","62.100128287911","61.5952977131574","61.0731913215611","60.6369554782429","59.9178466776246","Life support","ecosystem health","ecosystem health","America"
"19","Dominican Republic","62.6778607866778","62.100128287911","61.5952977131574","61.0731913215611","60.6369554782429","59.9178466776246","Life support","Life support","Life support","America"
"20","Dominican Republic","90.9116666666667","90.4366666666667","89.4866666666667","90.5","91.7983333333333","91.7983333333333","Human health and welfare","human health","human health","America"
"21","Dominican Republic",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","America"
"22","Dominican Republic","90.9116666666667","90.4366666666667","89.4866666666667","90.5","91.7983333333333","91.7983333333333","Human health and welfare","Human health and welfare","Human health and welfare","America"
"23","Dominican Republic","48.4108507906052","49.2474292735668","46.7588189441765","54.6788321610818","51.6762392289346","56.3621301876368","11","SESI layer","SESI layer","America"
