"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Ecuador","24.9671","22.16669","19.3663433333334","16.5703033333334","13.7698933333333","10.9695466666667","Source","renewable ressources","state of forest reccources","America"
"2","Ecuador","86.4245","86.4245","84.6765","84.6765","84.6765","84.6765","Source","renewable ressources","Proportion of fish stocks not overexploited","America"
"3","Ecuador","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","America"
"4","Ecuador",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","America"
"5","Ecuador","60.575","60.575","60.575","60.575","60.575","60.575","Source","non-renewables ressources","area with tolerable erosion","America"
"6","Ecuador","42.102200125","44.955221125","49.007952","49.44203075","51.179150875","59.57652625","Sink","global System","CO2 emissions [tonnes per capita]","America"
"7","Ecuador","9.67360454115421","17.9422894985809","18.5264900662252","30.4351939451277","37.0411542100284","16.1362148002619","Sink","global System","Consumption of HCFC in ODP per capita","America"
"8","Ecuador","75.88677","75.7395075","75.61103","75.4846775","75.3434925","75.0771025","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America"
"9","Ecuador","78.1215","78.283","78.074","77.96","77.9125","77.7605","Life support","ecosystem health","Aquatic habitats in favourable conservation status","America"
"10","Ecuador","59.6883333333333","61.4616666666667","65.6733333333333","63.9633333333333","63.425","63.425","Human health and welfare","human health","Concentrations of PM2.5","America"
"11","Ecuador","67.1049865","67.539982","67.8721115","68.074965","68.279367","68.485327","Human health and welfare","human health","Drinking water contamination","America"
"12","Ecuador","28.75","28.75","40.625","40.625","40.625","40.625","Human health and welfare","landscape and amenity","status of world heritage sites","America"
"13","Ecuador","59.9793367174998","57.6473358224542","54.7356368154139","51.9634270718792","48.8537409176755","45.2880748419805","Source","renewable ressources","renewable ressources","America"
"14","Ecuador","60.575","60.575","60.575","60.575","60.575","60.575","Source","non-renewable ressources","non-renewable ressources","America"
"15","Ecuador","60.2764325558717","59.093039923879","57.5813442018654","56.1042297414293","54.3995896683807","52.3767613885487","Source","Source","Source","America"
"16","Ecuador","20.18118020141","28.4006970318947","30.1321312869508","38.7914654907135","43.5400369763185","31.0054773326172","Sink","global System","global System","America"
"17","Ecuador",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","America"
"18","Ecuador","20.18118020141","28.4006970318947","30.1321312869508","38.7914654907135","43.5400369763185","31.0054773326172","Sink","Sink","Sink","America"
"19","Ecuador","76.9960278362137","77.0007523704964","76.8326464220776","76.7123553145124","76.6172295205605","76.4070221180701","Life support","ecosystem health","ecosystem health","America"
"20","Ecuador","76.9960278362137","77.0007523704964","76.8326464220776","76.7123553145124","76.6172295205605","76.4070221180701","Life support","Life support","Life support","America"
"21","Ecuador","63.2881094878085","64.4291848493885","66.763671278448","65.9871326695591","65.8074376645604","65.9066147285309","Human health and welfare","human health","human health","America"
"22","Ecuador","28.75","28.75","40.625","40.625","40.625","40.625","Human health and welfare","landscape and amenity","landscape and amenitys","America"
"23","Ecuador","42.6559860719981","43.0388088173908","52.0794983240713","51.7757401173642","51.7051946628457","51.7441419229904","Human health and welfare","Human health and welfare","Human health and welfare","America"
"24","Ecuador","44.7080370303139","48.562958402644","51.3311576212351","54.2226646316957","55.3460026682028","50.3376436004391","12","SESI","SESI","America"
