"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","El Salvador","5","5","5","5","5","5","Source","renewable ressources","state of forest reccources","America"
"2","El Salvador","87.3365","87.3365","87.3365","87.3365","87.3365","87.3365","Source","renewable ressources","Proportion of fish stocks not overexploited","America"
"3","El Salvador","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","America"
"4","El Salvador","100","100","100","100","100","100","Source","renewable ressources","Groundwater stress","America"
"5","El Salvador","5","5","5","5","5","5","Source","non-renewables ressources","area with tolerable erosion","America"
"6","El Salvador","98.3799175","98.264293","100","99.956311875","95.8984225","100","Sink","global System","CO2 emissions [tonnes per capita]","America"
"7","El Salvador","47.6822829165267","42.3013968223492","42.2101953631258","61.6361061776988","69.3882302116834","66.424865296348","Sink","global System","Consumption of HCFC in ODP per capita","America"
"8","El Salvador","46.135","46.135","46.135","46.135","46.135","61.715","Sink","critical ecosystems","Proportion of surface water in good chemical status","America"
"9","El Salvador","14.5961316666667","14.3087041666667","13.9632641666667","13.6722241666667","13.2983375","13.0244108333333","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America"
"10","El Salvador","83.356","83.204","83.0235","82.8905","82.8145","82.7385","Life support","ecosystem health","Aquatic habitats in favourable conservation status","America"
"11","El Salvador","29.7633333333333","32.1066666666667","36.8566666666667","41.86","45.6916666666667","45.6916666666667","Human health and welfare","human health","Concentrations of PM2.5","America"
"12","El Salvador","45.7131814011564","45.7131814011564","45.7131814011564","45.7131814011564","45.7131814011564","45.7131814011564","Source","renewable ressources","renewable ressources","America"
"13","El Salvador","5","5","5","5","5","5","Source","non-renewable ressources","non-renewable ressources","America"
"14","El Salvador","15.1183963106469","15.1183963106469","15.1183963106469","15.1183963106469","15.1183963106469","15.1183963106469","Source","Source","Source","America"
"15","El Salvador","68.4907224340608","64.4726054356468","64.9693738334654","78.4915145213715","81.573413667489","81.5014510891358","Sink","global System","global System","America"
"16","El Salvador","46.135","46.135","46.135","46.135","46.135","61.715","Sink","critical ecosystems","critical ecosystems","America"
"17","El Salvador","56.2122716094573","54.5384602988897","54.7481694836177","60.1764573769799","61.3464704734478","70.9215203867346","Sink","Sink","Sink","America"
"18","El Salvador","34.8808708493161","34.5042232412691","34.0481873605814","33.6644842124023","33.1857675953676","32.827126218019","Life support","ecosystem health","ecosystem health","America"
"19","El Salvador","34.8808708493161","34.5042232412691","34.0481873605814","33.6644842124023","33.1857675953676","32.827126218019","Life support","Life support","Life support","America"
"20","El Salvador","29.7633333333333","32.1066666666667","36.8566666666667","41.86","45.6916666666667","45.6916666666667","Human health and welfare","human health","human health","America"
"21","El Salvador",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","America"
"22","El Salvador","29.7633333333333","32.1066666666667","36.8566666666667","41.86","45.6916666666667","45.6916666666667","Human health and welfare","Human health and welfare","Human health and welfare","America"
"23","El Salvador","30.6479504815","30.9149834414968","31.9242971773968","33.6492882824477","34.4366616431735","35.6113474718268","11","SESI layer","SESI layer","America"
