"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Equatorial Guinea","52.7910166666667","50.8233133333333","48.85561","46.8879066666666","44.9202666666667","42.9525633333333","Source","renewable ressources","state of forest reccources","America"
"2","Equatorial Guinea","59.283","59.283","59.283","59.283","59.283","59.283","Source","renewable ressources","Proportion of fish stocks not overexploited","America"
"3","Equatorial Guinea","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","America"
"4","Equatorial Guinea",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","America"
"5","Equatorial Guinea","100","100","100","100","100","100","Source","non-renewables ressources","area with tolerable erosion","America"
"6","Equatorial Guinea","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","America"
"7","Equatorial Guinea","72.0924117205109","79.6581517655898","100","84.6543951915853","87.9376408715252","76.5705521472393","Sink","global System","Consumption of HCFC in ODP per capita","America"
"8","Equatorial Guinea","100","100","100","100","100","100","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America"
"9","Equatorial Guinea","67.339","64.299","65.0875","62.247","63.1115","67.4815","Life support","ecosystem health","Aquatic habitats in favourable conservation status","America"
"10","Equatorial Guinea","29.415","30.4916666666667","31.5366666666667","32.2966666666667","34.545","34.545","Human health and welfare","human health","Concentrations of PM2.5","America"
"11","Equatorial Guinea","67.8937921106851","67.0395436302612","66.1629515534722","65.2624948961668","64.3365101618492","63.3830431294828","Source","renewable ressources","renewable ressources","America"
"12","Equatorial Guinea","100","100","100","100","100","100","Source","non-renewable ressources","non-renewable ressources","America"
"13","Equatorial Guinea","82.3976893551543","81.8776792723519","81.3406119681136","80.7852058833589","80.2100431129726","79.6134681630456","Source","Source","Source","America"
"14","Equatorial Guinea","18.9858383697575","19.9572232243854","22.3606797749979","20.5735747005212","20.9687435092717","19.5666236417067","Sink","global System","global System","America"
"15","Equatorial Guinea",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","America"
"16","Equatorial Guinea","18.9858383697575","19.9572232243854","22.3606797749979","20.5735747005212","20.9687435092717","19.5666236417067","Sink","Sink","Sink","America"
"17","Equatorial Guinea","82.0603436502675","80.1866572442074","80.6768244293242","78.8967679946397","79.4427466796057","82.1471241127771","Life support","ecosystem health","ecosystem health","America"
"18","Equatorial Guinea","82.0603436502675","80.1866572442074","80.6768244293242","78.8967679946397","79.4427466796057","82.1471241127771","Life support","Life support","Life support","America"
"19","Equatorial Guinea","29.415","30.4916666666667","31.5366666666667","32.2966666666667","34.545","34.545","Human health and welfare","human health","human health","America"
"20","Equatorial Guinea",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","America"
"21","Equatorial Guinea","29.415","30.4916666666667","31.5366666666667","32.2966666666667","34.545","34.545","Human health and welfare","Human health and welfare","Human health and welfare","America"
"22","Equatorial Guinea","44.0820465799436","44.7082044300027","46.3809089203234","45.3643431535978","46.3511113248524","45.853236884498","10","SESI","SESI","America"
