"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Estonia",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Europe"
"2","Estonia","74.7965","74.7965","80.3445","80.3445","80.3445","80.3445","Source","renewable ressources","Proportion of fish stocks not overexploited","Europe"
"3","Estonia","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","Europe"
"4","Estonia","100","100","100","100","100","100","Source","renewable ressources","Groundwater stress","Europe"
"5","Estonia","100","100","100","100","100","100","Source","non-renewables ressources","area with tolerable erosion","Europe"
"6","Estonia","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","Europe"
"7","Estonia","100","100","100","100","100","100","Sink","global System","Consumption of HCFC in ODP per capita","Europe"
"8","Estonia","100","100","100","100","100","66.94","Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe"
"9","Estonia",NA,NA,NA,NA,NA,"100","Sink","critical ecosystems","Proportion of ground water in good chemical status","Europe"
"10","Estonia","86.20237","86.196675","86.2023558333333","86.1956125","86.2323466666667","86.1118025","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe"
"11","Estonia","78.8055","76.6965","74.9295","74.749","76.0125","77.0005","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe"
"12","Estonia","94.4583333333333","96.2","97.15","94.6166666666667","95.725","95.725","Human health and welfare","human health","Concentrations of PM2.5","Europe"
"13","Estonia","96.2774535","96.0490925","96.034244","96.0193955","96.004528","95.9730165","Human health and welfare","human health","Drinking water contamination","Europe"
"14","Estonia","90.7737809760898","90.7737809760898","92.9648381354279","92.9648381354279","92.9648381354279","92.9648381354279","Source","renewable ressources","renewable ressources","Europe"
"15","Estonia","100","100","100","100","100","100","Source","non-renewable ressources","non-renewable ressources","Europe"
"16","Estonia","95.2752753740916","95.2752753740916","96.4182753088998","96.4182753088998","96.4182753088998","96.4182753088998","Source","Source","Source","Europe"
"17","Estonia","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","Sink","global System","global System","Europe"
"18","Estonia","100","100","100","100","100","81.816868676331","Sink","critical ecosystems","critical ecosystems","Europe"
"19","Estonia","47.2870804501588","47.2870804501588","47.2870804501588","47.2870804501588","47.2870804501588","42.7724303806143","Sink","Sink","Sink","Europe"
"20","Estonia","82.4209977435059","81.3079533879528","80.3685225782691","80.2685233373737","80.961325649967","81.4288146076145","Life support","ecosystem health","ecosystem health","Europe"
"21","Estonia","82.4209977435059","81.3079533879528","80.3685225782691","80.2685233373737","80.961325649967","81.4288146076145","Life support","Life support","Life support","Europe"
"22","Estonia","95.3635559067902","96.1245166359759","96.5905109449163","95.3154506759441","95.8646621169657","95.8489280298038","Human health and welfare","human health","human health","Europe"
"23","Estonia",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Europe"
"24","Estonia","95.3635559067902","96.1245166359759","96.5905109449163","95.3154506759441","95.8646621169657","95.8489280298038","Human health and welfare","Human health and welfare","Human health and welfare","Europe"
"25","Estonia","77.1410870431836","77.0322313592036","77.1312868220455","76.8515462224903","77.1275443373391","75.3220557972761","13","SESI layer","SESI layer","Europe"
