"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Ethiopia","9.70224666666663","7.42839000000003","5.15446999999998","5","5","5","Source","renewable ressources","state of forest reccources","Africa"
"2","Ethiopia","13.246","14.196","14.196","14.196","14.196","14.196","Source","renewable ressources","Surfacewater Stress","Africa"
"3","Ethiopia",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Africa"
"4","Ethiopia","5","5","5","5","5","5","Source","non-renewables ressources","area with tolerable erosion","Africa"
"5","Ethiopia","100","100","100","100","100","100","Sink","global System","CO2 emissions [tonnes per capita]","Africa"
"6","Ethiopia","10.89","12.79","20.58","24.76","32.93","10.0138888888889","Sink","global System","Consumption of HCFC in ODP per capita","Africa"
"7","Ethiopia",NA,NA,NA,NA,NA,"98.29","Sink","critical ecosystems","Proportion of surface water in good chemical status","Africa"
"8","Ethiopia","77.4948991666667","77.1178391666667","76.83554","76.5208558333333","76.3006066666667","75.9607766666667","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa"
"9","Ethiopia","45.7866666666667","45.6283333333333","45.4383333333333","45.4383333333333","46.8","46.8","Human health and welfare","human health","Concentrations of PM2.5","Africa"
"10","Ethiopia","17.396759","17.833949","18.2716045","18.710571","19.150801","19.591981","Human health and welfare","human health","Drinking water contamination","Africa"
"11","Ethiopia","28.75","28.75","28.75","28.75","28.75","28.75","Human health and welfare","landscape and amenity","status of world heritage sites","Africa"
"12","Ethiopia","11.3364879635038","10.2690517790106","8.55411340350359","8.42496290793022","8.42496290793022","8.42496290793022","Source","renewable ressources","renewable ressources","Africa"
"13","Ethiopia","5","5","5","5","5","5","Source","non-renewable ressources","non-renewable ressources","Africa"
"14","Ethiopia","7.52877412448527","7.16556061275411","6.53992102532729","6.49036320552641","6.49036320552641","6.49036320552641","Source","Source","Source","Africa"
"15","Ethiopia","33","35.7631094844953","45.365184888855","49.7594212184989","57.3846669416143","31.6447292434126","Sink","global System","global System","Africa"
"16","Ethiopia",NA,NA,NA,NA,NA,"98.29","Sink","critical ecosystems","critical ecosystems","Africa"
"17","Ethiopia","33","35.7631094844953","45.365184888855","49.7594212184989","57.3846669416143","55.770605495503","Sink","Sink","Sink","Africa"
"18","Ethiopia","77.4948991666667","77.1178391666667","76.83554","76.5208558333333","76.3006066666667","75.9607766666667","Life support","ecosystem health","ecosystem health","Africa"
"19","Ethiopia","77.4948991666667","77.1178391666667","76.83554","76.5208558333333","76.3006066666667","75.9607766666667","Life support","Life support","Life support","Africa"
"20","Ethiopia","28.2230332426076","28.5260121577073","28.8137338053546","29.1577976183902","29.9375598003578","30.2804344552716","Human health and welfare","human health","human health","Africa"
"21","Ethiopia","28.75","28.75","28.75","28.75","28.75","28.75","Human health and welfare","landscape and amenity","landscape and amenitys","Africa"
"22","Ethiopia","28.4852980627721","28.6377870921286","28.7818492613651","28.9531808533832","29.3377716307883","29.5052959752831","Human health and welfare","Human health and welfare","Human health and welfare","Africa"
"23","Ethiopia","27.2134136656782","27.4280503861605","28.4605971349066","29.0840649427733","30.2172540040557","30.011723260862","11","SESI","SESI","Africa"
