"","X","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1",1,"Austria",100,100,100,100,100,100,"Source","renewable ressources","state of forest reccources","Europe"
"2",2,"Austria",100,100,100,100,100,100,"Source","renewable ressources","Surfacewater Stress","Europe"
"3",3,"Austria",100,100,100,100,100,100,"Source","renewable ressources","Groundwater stress","Europe"
"4",4,"Austria",95.84375,95.84375,95.84375,95.84375,95.84375,95.84375,"Source","non-renewables ressources","area with tolerable erosion","Europe"
"5",5,"Austria",5,5,5,5,5,5,"Sink","global System","CO2 emissions [tonnes per capita]","Europe"
"6",6,"Austria",100,100,100,100,100,100,"Sink","global System","Consumption of HCFC in ODP per capita","Europe"
"7",7,"Austria",86.7,86.7,86.7,86.7,86.7,89.075,"Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe"
"8",8,"Austria",94.87,94.87,94.87,94.87,94.87,96.39,"Sink","critical ecosystems","Proportion of ground water in good chemical status","Europe"
"9",9,"Austria",65.1834141666667,65.1748858333333,65.3454241666667,65.2900041666666,65.3604125,65.3836458333333,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe"
"10",10,"Austria",72.6716666666667,76.9466666666667,76.82,75.68,79.385,79.385,"Human health and welfare","human health","Concentrations of PM2.5","Europe"
"11",11,"Austria",99.571778,99.7677915,99.9637955,100,100,100,"Human health and welfare","human health","Drinking water contamination","Europe"
"12",12,"Austria",52.5,52.5,28.75,28.75,28.75,28.75,"Human health and welfare","landscape and amenity","status of world heritage sites","Europe"
"13",13,"Austria",100,100,100,100,100,100,"Source","renewable ressources","renewable ressources","Austria"
"14",14,"Austria",95.84375,95.84375,95.84375,95.84375,95.84375,95.84375,"Source","non-renewable ressources","non-renewable ressources","Austria"
"15",15,"Austria",97.8998212460064,97.8998212460064,97.8998212460064,97.8998212460064,97.8998212460064,97.8998212460064,"Source","Source","Source","Austria"
"16",16,"Austria",22.3606797749979,22.3606797749979,22.3606797749979,22.3606797749979,22.3606797749979,22.3606797749979,"Sink","global System","global System","Austria"
"17",17,"Austria",90.693048245166,90.693048245166,90.693048245166,90.693048245166,90.693048245166,92.6603434593246,"Sink","critical ecosystems","critical ecosystems","Austria"
"18",18,"Austria",45.0328570005123,45.0328570005123,45.0328570005123,45.0328570005123,45.0328570005123,45.5186584593096,"Sink","Sink","Sink","Austria"
"19",19,"Austria",65.1834141666667,65.1748858333333,65.3454241666667,65.2900041666666,65.3604125,65.3836458333333,"Life support","ecosystem health","ecosystem health","Austria"
"20",20,"Austria",65.1834141666667,65.1748858333333,65.3454241666667,65.2900041666666,65.3604125,65.3836458333333,"Life support","Life support","Life support","Austria"
"21",21,"Austria",85.064957886449,87.6173441541114,87.6311518257634,86.9942526837262,89.0982603646109,89.0982603646109,"Human health and welfare","human health","human health","Austria"
"22",22,"Austria",52.5,52.5,28.75,28.75,28.75,28.75,"Human health and welfare","landscape and amenity","landscape and amenitys","Austria"
"23",23,"Austria",66.82746657654,67.8226405272668,50.1935814122752,50.0108464701121,50.6120043614414,50.6120043614414,"Human health and welfare","Human health and welfare","Human health and welfare","Austria"
"24",24,"Austria",66.1989155823098,66.4418311445642,61.6657036310819,61.5964347062339,61.7973611180495,61.9688598502585,"12","SESI layer","SESI layer","Austria"
"25",1,"Belgium",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Europe"
