"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Fiji","100","100","100","100","100","100","Source","renewable ressources","state of forest reccources","Oceania"
"2","Fiji","83.4795","83.4795","78.6725","78.6725","78.6725","78.6725","Source","renewable ressources","Proportion of fish stocks not overexploited","Oceania"
"3","Fiji","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","Oceania"
"4","Fiji",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Oceania"
"5","Fiji","5","5","5","5","5","5","Source","non-renewables ressources","area with tolerable erosion","Oceania"
"6","Fiji","82.92004025","84.294353","80.381409875","78.24682875","74.520218625","73.183991375","Sink","global System","CO2 emissions [tonnes per capita]","Oceania"
"7","Fiji","28.8447319778189","24.5933456561922","31.6173752310536","23.8539741219963","14.9815157116451","46.0866333288282","Sink","global System","Consumption of HCFC in ODP per capita","Oceania"
"8","Fiji","100","100","100","100","100","100","Sink","critical ecosystems","Proportion of surface water in good chemical status","Oceania"
"9","Fiji","100","100","100","100","100","100","Sink","critical ecosystems","Proportion of ground water in good chemical status","Oceania"
"10","Fiji","81.3961583333333","81.3117816666667","81.2217525","81.1334658333333","81.0515825","80.982435","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Oceania"
"11","Fiji","86.206","86.073","85.959","85.845","85.731","85.617","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Oceania"
"12","Fiji","92.6533333333333","92.4316666666667","92.2416666666667","92.02","92.5266666666667","92.5266666666667","Human health and welfare","human health","Concentrations of PM2.5","Oceania"
"13","Fiji","94.1585899913184","94.1585899913184","92.3154342687451","92.3154342687451","92.3154342687451","92.3154342687451","Source","renewable ressources","renewable ressources","Oceania"
"14","Fiji","5","5","5","5","5","5","Source","non-renewable ressources","non-renewable ressources","Oceania"
"15","Fiji","21.6977637086542","21.6977637086542","21.4843471239813","21.4843471239813","21.4843471239813","21.4843471239813","Source","Source","Source","Oceania"
"16","Fiji","48.9060971311472","45.5310900395991","50.4127880365587","43.2029840188242","33.4129589555559","58.075845030785","Sink","global System","global System","Oceania"
"17","Fiji","100","100","100","100","100","100","Sink","critical ecosystems","critical ecosystems","Oceania"
"18","Fiji","69.9328943567669","67.4767293513839","71.0019633788804","65.7289768814518","57.8039435986472","76.2075094926904","Sink","Sink","Sink","Oceania"
"19","Fiji","83.7665638860956","83.6585260651597","83.5568107526101","83.4559906445457","83.3584621937539","83.2674794706493","Life support","ecosystem health","ecosystem health","Oceania"
"20","Fiji","83.7665638860956","83.6585260651597","83.5568107526101","83.4559906445457","83.3584621937539","83.2674794706493","Life support","Life support","Life support","Oceania"
"21","Fiji","92.6533333333333","92.4316666666667","92.2416666666667","92.02","92.5266666666667","92.5266666666667","Human health and welfare","human health","human health","Oceania"
"22","Fiji",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Oceania"
"23","Fiji","92.6533333333333","92.4316666666667","92.2416666666667","92.02","92.5266666666667","92.5266666666667","Human health and welfare","Human health and welfare","Human health and welfare","Oceania"
"24","Fiji","58.5810372209715","58.0062777771566","58.5565361894076","57.3858335931877","55.6319214365474","59.595787952443","12","SESI layer","SESI layer","Oceania"
