"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","France","100","100","100","100","100","100","Source","renewable ressources","state of forest reccources","Europe"
"2","France","57.87225","57.87225","60.48475","60.48475","60.48475","60.48475","Source","renewable ressources","Proportion of fish stocks not overexploited","Europe"
"3","France","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","Europe"
"4","France","100","100","100","100","100","100","Source","renewable ressources","Groundwater stress","Europe"
"5","France","100","100","100","100","100","100","Source","non-renewables ressources","area with tolerable erosion","Europe"
"6","France","5","5","5","5","5","7.48029324999999","Sink","global System","CO2 emissions [tonnes per capita]","Europe"
"7","France","100","100","100","100","100","100","Sink","global System","Consumption of HCFC in ODP per capita","Europe"
"8","France","98.6225","98.6225","98.6225","98.6225","98.6225","96.4375","Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe"
"9","France","44.045","44.045","44.045","44.045","44.045","42.43","Sink","critical ecosystems","Proportion of ground water in good chemical status","Europe"
"10","France","50.8471725","50.8231741666667","50.8363633333333","50.7830966666667","50.751335","50.6368825","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe"
"11","France","72.7255","71.462","75.87","76.0695","76.2215","75.946","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe"
"12","France","77.1683333333333","80.24","80.0816666666667","80.2716666666667","82.71","82.71","Human health and welfare","human health","Concentrations of PM2.5","Europe"
"13","France","98.771916","98.94341","99.1148945","99.2863885","99.2863885","99.2863885","Human health and welfare","human health","Drinking water contamination","Europe"
"14","France","52.5","52.5","46.5625","46.5625","46.5625","52.5","Human health and welfare","landscape and amenity","status of world heritage sites","Europe"
"15","France","87.2203031638271","87.2203031638271","88.1884018686143","88.1884018686143","88.1884018686143","88.1884018686143","Source","renewable ressources","renewable ressources","Europe"
"16","France","100","100","100","100","100","100","Source","non-renewable ressources","non-renewable ressources","Europe"
"17","France","93.3918107565257","93.3918107565257","93.9086800400337","93.9086800400337","93.9086800400337","93.9086800400337","Source","Source","Source","Europe"
"18","France","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","27.3501247711962","Sink","global System","global System","Europe"
"19","France","65.9077234662221","65.9077234662221","65.9077234662221","65.9077234662221","65.9077234662221","63.9675161703188","Sink","critical ecosystems","critical ecosystems","Europe"
"20","France","38.389340957189","38.389340957189","38.389340957189","38.389340957189","38.389340957189","41.8272584394642","Sink","Sink","Sink","Europe"
"21","France","60.8102462061185","60.2654600272688","62.1043870117079","62.1533971065541","62.1960037357908","62.0134556233161","Life support","ecosystem health","ecosystem health","Europe"
"22","France","60.8102462061185","60.2654600272688","62.1043870117079","62.1533971065541","62.1960037357908","62.0134556233161","Life support","Life support","Life support","Europe"
"23","France","87.3044336666815","89.1022963699589","89.0914470813604","89.2742061415792","90.6199602341283","90.6199602341283","Human health and welfare","human health","human health","Europe"
"24","France","52.5","52.5","46.5625","46.5625","46.5625","52.5","Human health and welfare","landscape and amenity","landscape and amenitys","Europe"
"25","France","67.7014236741058","68.3949600440182","64.407456903109","64.4734846542924","64.9576161693269","68.9749803355661","Human health and welfare","Human health and welfare","Human health and welfare","Europe"
"26","France","61.9831300886351","62.0016157337753","61.6231232559393","61.6510676242643","61.777060273779","64.0229473634243","14","SESI","SESI","Europe"
