"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","French Guiana",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","America"
"2","French Guiana","44.121","44.121","49.3365","49.3365","49.3365","49.3365","Source","renewable ressources","Proportion of fish stocks not overexploited","America"
"3","French Guiana",NA,NA,NA,NA,NA,NA,"Sink","global System","CO2 emissions [tonnes per capita]","America"
"4","French Guiana","100","100","100","100","100","100","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America"
"5","French Guiana","77.5325","76.6965","77.4185","78.416","77.922","79.0335","Life support","ecosystem health","Aquatic habitats in favourable conservation status","America"
"6","French Guiana","44.121","44.121","49.3365","49.3365","49.3365","49.3365","Source","renewable ressources","renewable ressources","America"
"7","French Guiana",NA,NA,NA,NA,NA,NA,"Source","non-renewable ressources","non-renewable ressources","America"
"8","French Guiana","44.121","44.121","49.3365","49.3365","49.3365","49.3365","Source","Source","Source","America"
"9","French Guiana",NA,NA,NA,NA,NA,NA,"Sink","global System","global System","America"
"10","French Guiana",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","America"
"11","French Guiana",NA,NA,NA,NA,NA,NA,"Sink","Sink","Sink","America"
"12","French Guiana","88.0525411331212","87.576537953952","87.9877832429025","88.5528091028173","88.2734388137224","88.9007873980878","Life support","ecosystem health","ecosystem health","America"
"13","French Guiana","88.0525411331212","87.576537953952","87.9877832429025","88.5528091028173","88.2734388137224","88.9007873980878","Life support","Life support","Life support","America"
"14","French Guiana",NA,NA,NA,NA,NA,NA,"Human health and welfare","human health","human health","America"
"15","French Guiana",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","America"
"16","French Guiana",NA,NA,NA,NA,NA,NA,"Human health and welfare","Human health and welfare","Human health and welfare","America"
"17","French Guiana","62.3294967678582","62.1607949681012","65.8863359731246","66.0975465981994","65.9932005136379","66.2272881633074","5","SESI layer","SESI layer","America"
