"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","French Polynesia","100","100","100","100","100","100","Source","renewable ressources","state of forest reccources","Oceania"
"2","French Polynesia","87.3365","87.3365","87.3365","87.3365","87.3365","87.3365","Source","renewable ressources","Proportion of fish stocks not overexploited","Oceania"
"3","French Polynesia","57.4673695","60.27514675","63.67987075","62.532244625","61.129070875","61.2836905","Sink","global System","CO2 emissions [tonnes per capita]","Oceania"
"4","French Polynesia",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Oceania"
"5","French Polynesia","88.486","87.802","88.239","87.3745","87.992","87.8685","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Oceania"
"6","French Polynesia","93.4539993793738","93.4539993793738","93.4539993793738","93.4539993793738","93.4539993793738","93.4539993793738","Source","renewable ressources","renewable ressources","Oceania"
"7","French Polynesia",NA,NA,NA,NA,NA,NA,"Source","non-renewable ressources","non-renewable ressources","Oceania"
"8","French Polynesia","93.4539993793738","93.4539993793738","93.4539993793738","93.4539993793738","93.4539993793738","93.4539993793738","Source","Source","Source","Oceania"
"9","French Polynesia","57.4673695","60.27514675","63.67987075","62.532244625","61.129070875","61.2836905","Sink","global System","global System","Oceania"
"10","French Polynesia",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Oceania"
"11","French Polynesia","57.4673695","60.27514675","63.67987075","62.532244625","61.129070875","61.2836905","Sink","Sink","Sink","Oceania"
"12","French Polynesia","88.486","87.802","88.239","87.3745","87.992","87.8685","Life support","ecosystem health","ecosystem health","Oceania"
"13","French Polynesia","88.486","87.802","88.239","87.3745","87.992","87.8685","Life support","Life support","Life support","Oceania"
"14","French Polynesia",NA,NA,NA,NA,NA,NA,"Human health and welfare","human health","human health","Oceania"
"15","French Polynesia",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Oceania"
"16","French Polynesia",NA,NA,NA,NA,NA,NA,"Human health and welfare","Human health and welfare","Human health and welfare","Oceania"
"17","French Polynesia","78.0365254736335","79.0824639929712","80.6777072342202","79.9273727667384","79.5114411651229","79.5411755175303","5","SESI","SESI","Oceania"
