"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Gambia","5","5","5","5","5","5","Source","renewable ressources","state of forest reccources","Africa"
"2","Gambia","59.283","59.283","59.283","59.283","59.283","59.283","Source","renewable ressources","Proportion of fish stocks not overexploited","Africa"
"3","Gambia","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","Africa"
"4","Gambia",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Africa"
"5","Gambia","88.24375","88.24375","88.24375","88.24375","88.24375","88.24375","Source","non-renewables ressources","area with tolerable erosion","Africa"
"6","Gambia","100","100","100","100","100","100","Sink","global System","CO2 emissions [tonnes per capita]","Africa"
"7","Gambia","49.1229010360843","66.0932475884244","70.1661307609861","85.1000357270454","88.4941050375134","80.0875437718859","Sink","global System","Consumption of HCFC in ODP per capita","Africa"
"8","Gambia","58.9783433333333","58.6684333333333","58.3508591666667","58.1560533333333","57.7125941666667","57.1755783333333","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa"
"9","Gambia","75.7465","80.7815","74.236","73.001","72.583","73.3335","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa"
"10","Gambia","5","5","5","5","5","5","Human health and welfare","human health","Concentrations of PM2.5","Africa"
"11","Gambia","55.117611","55.4304745","55.7389205","56.042683","56.3417905","56.6362525","Human health and welfare","human health","Drinking water contamination","Africa"
"12","Gambia","30.9480573090988","30.9480573090988","30.9480573090988","30.9480573090988","30.9480573090988","30.9480573090988","Source","renewable ressources","renewable ressources","Africa"
"13","Gambia","88.24375","88.24375","88.24375","88.24375","88.24375","88.24375","Source","non-renewable ressources","non-renewable ressources","Africa"
"14","Gambia","52.2587086730029","52.2587086730029","52.2587086730029","52.2587086730029","52.2587086730029","52.2587086730029","Source","Source","Source","Africa"
"15","Gambia","70.0877314771168","81.2977537133865","83.7652259359372","92.2496806103118","94.0713054217456","89.4916441752446","Sink","global System","global System","Africa"
"16","Gambia",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Africa"
"17","Gambia","70.0877314771168","81.2977537133865","83.7652259359372","92.2496806103118","94.0713054217456","89.4916441752446","Sink","Sink","Sink","Africa"
"18","Gambia","66.8386346606387","68.8427486908873","65.8159128258256","65.1571181789577","64.7221231295696","64.7524924130917","Life support","ecosystem health","ecosystem health","Africa"
"19","Gambia","66.8386346606387","68.8427486908873","65.8159128258256","65.1571181789577","64.7221231295696","64.7524924130917","Life support","Life support","Life support","Africa"
"20","Gambia","16.6008450086133","16.6478939358707","16.6941487503856","16.7395763088556","16.7841875734276","16.8279904474658","Human health and welfare","human health","human health","Africa"
"21","Gambia",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Africa"
"22","Gambia","16.6008450086133","16.6478939358707","16.6941487503856","16.7395763088556","16.7841875734276","16.8279904474658","Human health and welfare","Human health and welfare","Human health and welfare","Africa"
"23","Gambia","44.8993041676604","46.9746638107389","46.8305659778606","47.8858795295399","48.0720044393729","47.5124556161067","11","SESI","SESI","Africa"
