"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Georgia",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Europe"
"2","Georgia","40.948","40.948","40.625","40.625","40.625","40.625","Source","renewable ressources","Proportion of fish stocks not overexploited","Europe"
"3","Georgia","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","Europe"
"4","Georgia","100","100","100","100","100","100","Source","renewable ressources","Groundwater stress","Europe"
"5","Georgia","92.875","92.875","92.875","92.875","92.875","92.875","Source","non-renewables ressources","area with tolerable erosion","Europe"
"6","Georgia","42.18999675","39.035232","38.688626875","40.58571275","34.1303155","37.838859","Sink","global System","CO2 emissions [tonnes per capita]","Europe"
"7","Georgia","66.8659987476519","72.6163640158631","58.5378835316218","62.7019411396368","52.589229805886","76.4391035092893","Sink","global System","Consumption of HCFC in ODP per capita","Europe"
"8","Georgia",NA,NA,NA,NA,NA,"92.4","Sink","critical ecosystems","Proportion of ground water in good chemical status","Europe"
"9","Georgia","71.26158","71.0757133333333","70.8914191666667","70.7207533333333","70.55149","70.2798725","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe"
"10","Georgia","75.376","73.818","75.7655","74.673","73.4","73.571","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe"
"11","Georgia","44.3616666666667","45.4066666666667","49.1433333333333","50.41","55.4766666666667","55.4766666666667","Human health and welfare","human health","Concentrations of PM2.5","Europe"
"12","Georgia","69.548491","69.7794455","70.012205","70.247691","70.485419","70.725845","Human health and welfare","human health","Drinking water contamination","Europe"
"13","Georgia","74.2581681468864","74.2581681468864","74.0624017101842","74.0624017101842","74.0624017101842","74.0624017101842","Source","renewable ressources","renewable ressources","Europe"
"14","Georgia","92.875","92.875","92.875","92.875","92.875","92.875","Source","non-renewable ressources","non-renewable ressources","Europe"
"15","Georgia","83.0465373549197","83.0465373549197","82.9369975272397","82.9369975272397","82.9369975272397","82.9369975272397","Source","Source","Source","Europe"
"16","Georgia","53.1138048895853","53.2409298975484","47.5893930829878","50.446040200998","42.3661067974967","53.7807443214986","Sink","global System","global System","Europe"
"17","Georgia",NA,NA,NA,NA,NA,"92.4","Sink","critical ecosystems","critical ecosystems","Europe"
"18","Georgia","53.1138048895853","53.2409298975484","47.5893930829878","50.446040200998","42.3661067974967","70.4935513029842","Sink","Sink","Sink","Europe"
"19","Georgia","73.2899232778968","72.4338802415002","73.2879513895162","72.6700131667801","71.9616520516309","71.9066095689228","Life support","ecosystem health","ecosystem health","Europe"
"20","Georgia","73.2899232778968","72.4338802415002","73.2879513895162","72.6700131667801","71.9616520516309","71.9066095689228","Life support","Life support","Life support","Europe"
"21","Georgia","55.5453596163682","56.2890044502773","58.6569103151254","59.5078658944345","62.532360380233","62.6389186351691","Human health and welfare","human health","human health","Europe"
"22","Georgia",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Europe"
"23","Georgia","55.5453596163682","56.2890044502773","58.6569103151254","59.5078658944345","62.532360380233","62.6389186351691","Human health and welfare","Human health and welfare","Human health and welfare","Europe"
"24","Georgia","65.0961416833371","65.1603067182785","64.180420788527","65.2193177348453","63.0584371925277","71.6354000666463","12","SESI","SESI","Europe"
