"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Germany","100","100","100","100","100","100","Source","renewable ressources","state of forest reccources","Europe"
"2","Germany","74.7965","74.7965","80.3445","80.3445","80.3445","80.3445","Source","renewable ressources","Proportion of fish stocks not overexploited","Europe"
"3","Germany","16.286","15.7666666666667","15.7666666666667","15.7666666666667","15.7666666666667","15.7666666666667","Source","renewable ressources","Surfacewater Stress","Europe"
"4","Germany","100","100","100","100","100","100","Source","renewable ressources","Groundwater stress","Europe"
"5","Germany","100","100","100","100","100","100","Source","non-renewables ressources","area with tolerable erosion","Europe"
"6","Germany","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","Europe"
"7","Germany","100","100","100","100","100","100","Sink","global System","Consumption of HCFC in ODP per capita","Europe"
"8","Germany","56.0625","56.0625","56.0625","56.0625","56.0625",NA,"Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe"
"9","Germany","59.6699175","59.4905391666667","59.2536441666667","59.0237333333333","58.8790066666667","58.5492066666667","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe"
"10","Germany","72.4595","70.6925","70.8825","70.588","73.7135","73.457","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe"
"11","Germany","75.8066666666667","78.91","78.53","78.7833333333333","81.855","81.855","Human health and welfare","human health","Concentrations of PM2.5","Europe"
"12","Germany","99.961221","99.971937","99.982653","99.993369","99.9933785","99.9933785","Human health and welfare","human health","Drinking water contamination","Europe"
"13","Germany","68.3333365","68.3333365","60.4166635","60.4166635","60.4166635","60.4166635","Human health and welfare","landscape and amenity","status of world heritage sites","Europe"
"14","Germany","59.0777472754365","58.6010355431679","59.65873077342","59.65873077342","59.65873077342","59.65873077342","Source","renewable ressources","renewable ressources","Europe"
"15","Germany","100","100","100","100","100","100","Source","non-renewable ressources","non-renewable ressources","Europe"
"16","Germany","76.8620499827038","76.5513132109227","77.2390644514937","77.2390644514937","77.2390644514937","77.2390644514937","Source","Source","Source","Europe"
"17","Germany","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","Sink","global System","global System","Europe"
"18","Germany","56.0625","56.0625","56.0625","56.0625","56.0625",NA,"Sink","critical ecosystems","critical ecosystems","Europe"
"19","Germany","35.4061521474139","35.4061521474139","35.4061521474139","35.4061521474139","35.4061521474139","22.3606797749979","Sink","Sink","Sink","Europe"
"20","Germany","65.7544856803796","64.8500959138812","64.8077652187124","64.5474034220845","65.8800247261895","65.5808590528771","Life support","ecosystem health","ecosystem health","Europe"
"21","Germany","65.7544856803796","64.8500959138812","64.8077652187124","64.5474034220845","65.8800247261895","65.5808590528771","Life support","Life support","Life support","Europe"
"22","Germany","87.050140493511","88.8188355511938","88.6094675533602","88.7570330793566","90.4707576906345","90.4707576906345","Human health and welfare","human health","human health","Europe"
"23","Germany","68.3333365","68.3333365","60.4166635","60.4166635","60.4166635","60.4166635","Human health and welfare","landscape and amenity","landscape and amenitys","Europe"
"24","Germany","77.1260432196243","77.9056312294425","73.1675364084751","73.2284357392253","73.9320047339791","73.9320047339791","Human health and welfare","Human health and welfare","Human health and welfare","Europe"
"25","Germany","60.9507821111801","60.8313861193082","60.0088499265302","59.9609586091278","60.4123170647624","53.7938834530706","13","SESI","SESI","Europe"
