"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Ghana","5","5","5","5","5","5","Source","renewable ressources","state of forest reccources","Africa"
"2","Ghana","59.283","59.283","59.283","59.283","59.283","59.283","Source","renewable ressources","Proportion of fish stocks not overexploited","Africa"
"3","Ghana","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","Africa"
"4","Ghana",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Africa"
"5","Ghana","50.8375","50.8375","50.8375","50.8375","50.8375","50.8375","Source","non-renewables ressources","area with tolerable erosion","Africa"
"6","Ghana","100","100","100","100","100","100","Sink","global System","CO2 emissions [tonnes per capita]","Africa"
"7","Ghana","62.531600100965","65.9809137331806","64.1732520435703","67.2721006543308","68.563287575481","59.3581381559443","Sink","global System","Consumption of HCFC in ODP per capita","Africa"
"8","Ghana","42.919945","42.6653133333333","42.3781266666667","42.1121333333333","41.8362941666667","41.6636166666667","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa"
"9","Ghana","79.1475","77.0385","78.416","79.442","79.9645","78.5965","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa"
"10","Ghana","5","5","5","5","5","5","Human health and welfare","human health","Concentrations of PM2.5","Africa"
"11","Ghana","55.463658","55.779495","56.0857085","56.382384","56.6694645","56.9471875","Human health and welfare","human health","Drinking water contamination","Africa"
"12","Ghana","30.9480573090988","30.9480573090988","30.9480573090988","30.9480573090988","30.9480573090988","30.9480573090988","Source","renewable ressources","renewable ressources","Africa"
"13","Ghana","50.8375","50.8375","50.8375","50.8375","50.8375","50.8375","Source","non-renewable ressources","non-renewable ressources","Africa"
"14","Ghana","39.6651214980026","39.6651214980026","39.6651214980026","39.6651214980026","39.6651214980026","39.6651214980026","Source","Source","Source","Africa"
"15","Ghana","79.0769246373207","81.2286364117856","80.1082093443427","82.0195712341456","82.8029513818686","77.0442328509696","Sink","global System","global System","Africa"
"16","Ghana",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Africa"
"17","Ghana","79.0769246373207","81.2286364117856","80.1082093443427","82.0195712341456","82.8029513818686","77.0442328509696","Sink","Sink","Sink","Africa"
"18","Ghana","58.2838429317036","57.3312457672951","57.6465365888822","57.840056157188","57.8395915000307","57.2242470229331","Life support","ecosystem health","ecosystem health","Africa"
"19","Ghana","58.2838429317036","57.3312457672951","57.6465365888822","57.840056157188","57.8395915000307","57.2242470229331","Life support","Life support","Life support","Africa"
"20","Ghana","16.6528763281302","16.7002238008956","16.7460007912337","16.7902328750974","16.8329237656445","16.8741203474433","Human health and welfare","human health","human health","Africa"
"21","Ghana",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Africa"
"22","Ghana","16.6528763281302","16.7002238008956","16.7460007912337","16.7902328750974","16.8329237656445","16.8741203474433","Human health and welfare","Human health and welfare","Human health and welfare","Africa"
"23","Ghana","41.7709159877041","41.9090585998809","41.8497179220457","42.160225713773","42.2872890989471","41.4464691126237","11","SESI","SESI","Africa"
