"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Gibraltar",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Europe"
"2","Gibraltar","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","Europe"
"3","Gibraltar","67.8615","61.7055","63.8525","64.185","64.85","66.161","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe"
"4","Gibraltar",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","renewable ressources","Europe"
"5","Gibraltar",NA,NA,NA,NA,NA,NA,"Source","non-renewable ressources","non-renewable ressources","Europe"
"6","Gibraltar",NA,NA,NA,NA,NA,NA,"Source","Source","Source","Europe"
"7","Gibraltar","5","5","5","5","5","5","Sink","global System","global System","Europe"
"8","Gibraltar",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Europe"
"9","Gibraltar","5","5","5","5","5","5","Sink","Sink","Sink","Europe"
"10","Gibraltar","67.8615","61.7055","63.8525","64.185","64.85","66.161","Life support","ecosystem health","ecosystem health","Europe"
"11","Gibraltar","67.8615","61.7055","63.8525","64.185","64.85","66.161","Life support","Life support","Life support","Europe"
"12","Gibraltar",NA,NA,NA,NA,NA,NA,"Human health and welfare","human health","human health","Europe"
"13","Gibraltar",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Europe"
"14","Gibraltar",NA,NA,NA,NA,NA,NA,"Human health and welfare","Human health and welfare","Human health and welfare","Europe"
"15","Gibraltar","18.4203013004674","17.5649508966009","17.8679181775606","17.9143796990016","18.0069431053691","18.1880455244647","3","SESI layer","SESI layer","Europe"
