"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Greenland","100","100","100","100","100","100","Source","renewable ressources","state of forest reccources","Europe"
"2","Greenland","75.2145","75.2145","58.4375","58.4375","58.4375","58.4375","Source","renewable ressources","Proportion of fish stocks not overexploited","Europe"
"3","Greenland","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","Europe"
"4","Greenland","100","100","100","100","100","100","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe"
"5","Greenland","70.3885","71.2055","70.5975","70.797","69.6285","69.277","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe"
"6","Greenland","99.2179315","99.6609165","100","100","100","100","Human health and welfare","human health","Drinking water contamination","Europe"
"7","Greenland","86.7262935908136","86.7262935908136","76.4444242571033","76.4444242571033","76.4444242571033","76.4444242571033","Source","renewable ressources","renewable ressources","Europe"
"8","Greenland",NA,NA,NA,NA,NA,NA,"Source","non-renewable ressources","non-renewable ressources","Europe"
"9","Greenland","86.7262935908136","86.7262935908136","76.4444242571033","76.4444242571033","76.4444242571033","76.4444242571033","Source","Source","Source","Europe"
"10","Greenland","5","5","5","5","5","5","Sink","global System","global System","Europe"
"11","Greenland",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Europe"
"12","Greenland","5","5","5","5","5","5","Sink","Sink","Sink","Europe"
"13","Greenland","83.8978545613653","84.3833514385391","84.0223184636082","84.1409531678837","83.4436935903487","83.2328060322371","Life support","ecosystem health","ecosystem health","Europe"
"14","Greenland","83.8978545613653","84.3833514385391","84.0223184636082","84.1409531678837","83.4436935903487","83.2328060322371","Life support","Life support","Life support","Europe"
"15","Greenland","99.2179315","99.6609165","100","100","100","100","Human health and welfare","human health","human health","Europe"
"16","Greenland",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Europe"
"17","Greenland","99.2179315","99.6609165","100","100","100","100","Human health and welfare","Human health and welfare","Human health and welfare","Europe"
"18","Greenland","43.5878505973791","43.6994136172957","42.3328609311744","42.3477959198738","42.2597899928854","42.2330638188707","6","SESI layer","SESI layer","Europe"
