"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Guernsey",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Europe"
"2","Guernsey","74.7965","74.7965","80.3445","80.3445","80.3445","80.3445","Source","renewable ressources","Proportion of fish stocks not overexploited","Europe"
"3","Guernsey",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe"
"4","Guernsey","71.234","70.531","71.6045","70.778","70.455","70.607","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe"
"5","Guernsey","74.7965","74.7965","80.3445","80.3445","80.3445","80.3445","Source","renewable ressources","renewable ressources","Europe"
"6","Guernsey",NA,NA,NA,NA,NA,NA,"Source","non-renewable ressources","non-renewable ressources","Europe"
"7","Guernsey","74.7965","74.7965","80.3445","80.3445","80.3445","80.3445","Source","Source","Source","Europe"
"8","Guernsey",NA,NA,NA,NA,NA,NA,"Sink","global System","global System","Europe"
"9","Guernsey",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Europe"
"10","Guernsey",NA,NA,NA,NA,NA,NA,"Sink","Sink","Sink","Europe"
"11","Guernsey","71.234","70.531","71.6045","70.778","70.455","70.607","Life support","ecosystem health","ecosystem health","Europe"
"12","Guernsey","71.234","70.531","71.6045","70.778","70.455","70.607","Life support","Life support","Life support","Europe"
"13","Guernsey",NA,NA,NA,NA,NA,NA,"Human health and welfare","human health","human health","Europe"
"14","Guernsey",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Europe"
"15","Guernsey",NA,NA,NA,NA,NA,NA,"Human health and welfare","Human health and welfare","Human health and welfare","Europe"
"16","Guernsey","72.993519445222","72.6324441382775","75.8487162069998","75.4097011066879","75.2374358115692","75.3185509121093","4","SESI","SESI","Europe"
