"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Guyana","95.3361966666667","95.0228866666667","94.7095766666667","94.39633","94.0796","93.7663533333333","Source","renewable ressources","state of forest reccources","America"
"2","Guyana","62.323","62.323","63.33","63.33","63.33","63.33","Source","renewable ressources","Proportion of fish stocks not overexploited","America"
"3","Guyana","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","America"
"4","Guyana",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","America"
"5","Guyana","100","100","100","100","100","100","Source","non-renewables ressources","area with tolerable erosion","America"
"6","Guyana","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","America"
"7","Guyana","20.4616588419405","6.18935837245697","21.056338028169","35.9233176838811","41.2754303599374","28.7995824634655","Sink","global System","Consumption of HCFC in ODP per capita","America"
"8","Guyana",NA,NA,NA,NA,NA,"69.41","Sink","critical ecosystems","Proportion of surface water in good chemical status","America"
"9","Guyana","100","100","100","100","100","100","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America"
"10","Guyana","80.3065","80.24","80.05","79.8315","79.5845","72.1175","Life support","ecosystem health","Aquatic habitats in favourable conservation status","America"
"11","Guyana","78.72","78.5933333333333","77.7383333333333","79.3533333333333","80.6516666666667","80.6516666666667","Human health and welfare","human health","Concentrations of PM2.5","America"
"12","Guyana","84.0689050305601","83.9767101235769","84.3336947806256","84.2406157493734","84.146292069351","84.052797290686","Source","renewable ressources","renewable ressources","America"
"13","Guyana","100","100","100","100","100","100","Source","non-renewable ressources","non-renewable ressources","America"
"14","Guyana","91.6890969693562","91.6388073490576","91.8333788884116","91.782686684022","91.7312880479452","91.6803126579998","Source","Source","Source","America"
"15","Guyana","10.1147562605187","5.56298407891707","10.2606866310615","13.4021113418523","14.365832791721","11.9999130129067","Sink","global System","global System","America"
"16","Guyana",NA,NA,NA,NA,NA,"69.41","Sink","critical ecosystems","critical ecosystems","America"
"17","Guyana","10.1147562605187","5.56298407891707","10.2606866310615","13.4021113418523","14.365832791721","28.8602488247391","Sink","Sink","Sink","America"
"18","Guyana","89.6138940120336","89.5767827062348","89.4706655837543","89.3484750849168","89.2101451629802","84.9220230564487","Life support","ecosystem health","ecosystem health","America"
"19","Guyana","89.6138940120336","89.5767827062348","89.4706655837543","89.3484750849168","89.2101451629802","84.9220230564487","Life support","Life support","Life support","America"
"20","Guyana","78.72","78.5933333333333","77.7383333333333","79.3533333333333","80.6516666666667","80.6516666666667","Human health and welfare","human health","human health","America"
"21","Guyana",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","America"
"22","Guyana","78.72","78.5933333333333","77.7383333333333","79.3533333333333","80.6516666666667","80.6516666666667","Human health and welfare","Human health and welfare","Human health and welfare","America"
"23","Guyana","50.5747084657829","43.5253331036046","50.5968197678385","54.3433712464212","55.4905427799461","65.2457847085883","11","SESI","SESI","America"
