"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Haiti","67.1610333333333","62.0141866666667","56.86734","51.7204933333333","46.5736466666667","41.4267366666666","Source","renewable ressources","state of forest reccources","America"
"2","Haiti","62.323","62.323","63.33","63.33","63.33","63.33","Source","renewable ressources","Proportion of fish stocks not overexploited","America"
"3","Haiti","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","America"
"4","Haiti",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","America"
"5","Haiti","5","5","5","5","5","5","Source","non-renewables ressources","area with tolerable erosion","America"
"6","Haiti","100","100","100","100","100","100","Sink","global System","CO2 emissions [tonnes per capita]","America"
"7","Haiti","5.58139534883721","13.1395348837209","34.9418604651163","32.6162790697674","23.0232558139535","36.8278201865988","Sink","global System","Consumption of HCFC in ODP per capita","America"
"8","Haiti","28.59073","28.6615775","28.7516491666667","28.80391","28.6582766666667","28.74458","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America"
"9","Haiti","76.5255","76.421","76.421","76.1645","76.1455","75.8035","Life support","ecosystem health","Aquatic habitats in favourable conservation status","America"
"10","Haiti","83.7233333333333","83.0266666666667","82.235","83.4383333333333","85.1483333333333","85.1483333333333","Human health and welfare","human health","Concentrations of PM2.5","America"
"11","Haiti","74.8034979373176","72.8416543736808","71.1471433798888","68.9325030826786","66.5656091580484","64.0172091831831","Source","renewable ressources","renewable ressources","America"
"12","Haiti","5","5","5","5","5","5","Source","non-renewable ressources","non-renewable ressources","America"
"13","Haiti","19.3395317856092","19.0842414538384","18.8609574756809","18.5650886185171","18.243575466181","17.8909487148087","Source","Source","Source","America"
"14","Haiti","23.6249769287447","36.2484963601539","59.1116405330763","57.1106636888133","47.9825549694402","60.6859293301164","Sink","global System","global System","America"
"15","Haiti",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","America"
"16","Haiti","23.6249769287447","36.2484963601539","59.1116405330763","57.1106636888133","47.9825549694402","60.6859293301164","Sink","Sink","Sink","America"
"17","Haiti","46.7752061311866","46.8011368892626","46.8746176620763","46.838396676178","46.714010809624","46.6791149233787","Life support","ecosystem health","ecosystem health","America"
"18","Haiti","46.7752061311866","46.8011368892626","46.8746176620763","46.838396676178","46.714010809624","46.6791149233787","Life support","Life support","Life support","America"
"19","Haiti","83.7233333333333","83.0266666666667","82.235","83.4383333333333","85.1483333333333","85.1483333333333","Human health and welfare","human health","human health","America"
"20","Haiti",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","America"
"21","Haiti","83.7233333333333","83.0266666666667","82.235","83.4383333333333","85.1483333333333","85.1483333333333","Human health and welfare","Human health and welfare","Human health and welfare","America"
"22","Haiti","36.5737837217761","40.4911140647701","45.531063642436","45.1175458830872","43.1970569398001","45.5779760203997","10","SESI layer","SESI layer","America"
