"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Honduras","54.2739033333333","52.38486","50.48125","48.5767533333333","46.6722566666667","44.76776","Source","renewable ressources","state of forest reccources","America"
"2","Honduras","74.82975","74.82975","75.33325","75.33325","75.33325","75.33325","Source","renewable ressources","Proportion of fish stocks not overexploited","America"
"3","Honduras","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","America"
"4","Honduras","100","100","100","100","100","100","Source","renewable ressources","Groundwater stress","America"
"5","Honduras","5","5","5","5","5","5","Source","non-renewables ressources","area with tolerable erosion","America"
"6","Honduras","91.587590875","93.114863125","94.410876875","92.83856275","93.153779875","97.20945575","Sink","global System","CO2 emissions [tonnes per capita]","America"
"7","Honduras","42.5968339508252","41.7969013135736","42.4368474233749","53.0492870775794","47.663073986752","45.7757140627439","Sink","global System","Consumption of HCFC in ODP per capita","America"
"8","Honduras","64.50867","64.108235","63.6744658333333","63.1517583333333","62.5750758333333","62.093735","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America"
"9","Honduras","87.061","86.833","86.6715","86.491","86.3105","86.1015","Life support","ecosystem health","Aquatic habitats in favourable conservation status","America"
"10","Honduras","42.7783333333333","44.1716666666667","49.1116666666667","52.405","55.8883333333333","55.8883333333333","Human health and welfare","human health","Concentrations of PM2.5","America"
"11","Honduras","5","5","5","5","5","5","Human health and welfare","landscape and amenity","status of world heritage sites","America"
"12","Honduras","79.8300383252714","79.1261473520739","78.5288433999557","77.777467358605","77.0036614650036","76.2057983378662","Source","renewable ressources","renewable ressources","America"
"13","Honduras","5","5","5","5","5","5","Source","non-renewable ressources","non-renewable ressources","America"
"14","Honduras","19.9787434946835","19.8904684902184","19.8152521306134","19.7202265908134","19.6218833786418","19.5199639264352","Source","Source","Source","America"
"15","Honduras","62.460718859604","62.3851965201885","63.2969191750389","70.1784836484418","66.6332912464013","66.7070629739232","Sink","global System","global System","America"
"16","Honduras",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","America"
"17","Honduras","62.460718859604","62.3851965201885","63.2969191750389","70.1784836484418","66.6332912464013","66.7070629739232","Sink","Sink","Sink","America"
"18","Honduras","74.9412391068496","74.6103904945886","74.2883669592605","73.9057421991575","73.4907210654033","73.1188328962005","Life support","ecosystem health","ecosystem health","America"
"19","Honduras","74.9412391068496","74.6103904945886","74.2883669592605","73.9057421991575","73.4907210654033","73.1188328962005","Life support","Life support","Life support","America"
"20","Honduras","42.7783333333333","44.1716666666667","49.1116666666667","52.405","55.8883333333333","55.8883333333333","Human health and welfare","human health","human health","America"
"21","Honduras","5","5","5","5","5","5","Human health and welfare","landscape and amenity","landscape and amenitys","America"
"22","Honduras","14.6250356124922","14.8613032178653","15.6703009968964","16.1871862903965","16.7165088061672","16.7165088061672","Human health and welfare","Human health and welfare","Human health and welfare","America"
"23","Honduras","34.1978054885692","34.2488262318308","34.7612256814692","35.8708243326247","35.6002060244545","35.5186471343504","11","SESI layer","SESI layer","America"
