"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Hungary","100","100","100","100","100","100","Source","renewable ressources","state of forest reccources","Europe"
"2","Hungary","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","Europe"
"3","Hungary","100","100","100","100","100","100","Source","renewable ressources","Groundwater stress","Europe"
"4","Hungary","100","100","100","100","100","100","Source","non-renewables ressources","area with tolerable erosion","Europe"
"5","Hungary","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","Europe"
"6","Hungary","100","100","100","100","100","100","Sink","global System","Consumption of HCFC in ODP per capita","Europe"
"7","Hungary","50.315","50.315","50.315","50.315","50.315","49.9825","Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe"
"8","Hungary","82.9","82.9","82.9","82.9","82.9","79.48","Sink","critical ecosystems","Proportion of ground water in good chemical status","Europe"
"9","Hungary","48.539295","48.4907175","48.2317933333333","48.1773366666667","48.04876","47.9027441666667","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe"
"10","Hungary","61.4933333333333","64.5966666666667","63.2033333333333","61.2083333333333","70.74","70.74","Human health and welfare","human health","Concentrations of PM2.5","Europe"
"11","Hungary","92.865842","92.879294","92.917389","92.9310785","92.9449675","92.9590845","Human health and welfare","human health","Drinking water contamination","Europe"
"12","Hungary","76.25","76.25","76.25","76.25","76.25","76.25","Human health and welfare","landscape and amenity","status of world heritage sites","Europe"
"13","Hungary","100","100","100","100","100","100","Source","renewable ressources","renewable ressources","Europe"
"14","Hungary","100","100","100","100","100","100","Source","non-renewable ressources","non-renewable ressources","Europe"
"15","Hungary","100","100","100","100","100","100","Source","Source","Source","Europe"
"16","Hungary","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","Sink","global System","global System","Europe"
"17","Hungary","64.5841582743013","64.5841582743013","64.5841582743013","64.5841582743013","64.5841582743013","63.0286371421753","Sink","critical ecosystems","critical ecosystems","Europe"
"18","Hungary","38.0019168162533","38.0019168162533","38.0019168162533","38.0019168162533","38.0019168162533","37.5414860093566","Sink","Sink","Sink","Europe"
"19","Hungary","48.539295","48.4907175","48.2317933333333","48.1773366666667","48.04876","47.9027441666667","Life support","ecosystem health","ecosystem health","Europe"
"20","Hungary","48.539295","48.4907175","48.2317933333333","48.1773366666667","48.04876","47.9027441666667","Life support","Life support","Life support","Europe"
"21","Hungary","75.568711629792","77.4576838974245","76.6334699033653","75.4198676069785","81.0859235684592","81.0920812257892","Human health and welfare","human health","human health","Europe"
"22","Hungary","76.25","76.25","76.25","76.25","76.25","76.25","Human health and welfare","landscape and amenity","landscape and amenitys","Europe"
"23","Hungary","75.9085914885242","76.8514697138488","76.4414944917458","75.8337979072136","78.6307934087849","78.6337789595949","Human health and welfare","Human health and welfare","Human health and welfare","Europe"
"24","Hungary","61.1712668879269","61.344986137961","61.1810632988534","61.0418622346939","61.5559568117272","61.3225562109028","12","SESI","SESI","Europe"
