"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Iceland","100","100","100","100","100","100","Source","renewable ressources","state of forest reccources","Europe"
"2","Iceland","74.7965","74.7965","80.3445","80.3445","80.3445","80.3445","Source","renewable ressources","Proportion of fish stocks not overexploited","Europe"
"3","Iceland","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","Europe"
"4","Iceland","100","100","100","100","100","100","Source","renewable ressources","Groundwater stress","Europe"
"5","Iceland","52.2625","52.2625","52.2625","52.2625","52.2625","52.2625","Source","non-renewables ressources","area with tolerable erosion","Europe"
"6","Iceland","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","Europe"
"7","Iceland","5","5","5","5","5","5","Sink","global System","Consumption of HCFC in ODP per capita","Europe"
"8","Iceland","100","100","100","100","100","100","Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe"
"9","Iceland","100","100","100","100","100","100","Sink","critical ecosystems","Proportion of ground water in good chemical status","Europe"
"10","Iceland","78.4640125","78.5710275","78.6779008333333","78.7844908333333","78.8910666666667","79.0056608333333","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe"
"11","Iceland","63.767","64.831","64.299","62.912","63.8335","62.0285","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe"
"12","Iceland","95.4716666666667","97.815","97.625","97.1816666666667","97.4983333333333","97.4983333333333","Human health and welfare","human health","Concentrations of PM2.5","Europe"
"13","Iceland","98.996344","99.5919275","100","100","100","100","Human health and welfare","human health","Drinking water contamination","Europe"
"14","Iceland","76.25","76.25","76.25","76.25","76.25","76.25","Human health and welfare","landscape and amenity","status of world heritage sites","Europe"
"15","Iceland","92.9972955480127","92.9972955480127","94.6758118918924","94.6758118918924","94.6758118918924","94.6758118918924","Source","renewable ressources","renewable ressources","Europe"
"16","Iceland","52.2625","52.2625","52.2625","52.2625","52.2625","52.2625","Source","non-renewable ressources","non-renewable ressources","Europe"
"17","Iceland","69.7156450058236","69.7156450058236","70.341983331436","70.341983331436","70.341983331436","70.341983331436","Source","Source","Source","Europe"
"18","Iceland","5","5","5","5","5","5","Sink","global System","global System","Europe"
"19","Iceland","100","100","100","100","100","100","Sink","critical ecosystems","critical ecosystems","Europe"
"20","Iceland","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","Sink","Sink","Sink","Europe"
"21","Iceland","70.7348194674129","71.3711306051158","71.1260173613179","70.4023429106352","70.9640254218056","70.0043043890904","Life support","ecosystem health","ecosystem health","Europe"
"22","Iceland","70.7348194674129","71.3711306051158","71.1260173613179","70.4023429106352","70.9640254218056","70.0043043890904","Life support","Life support","Life support","Europe"
"23","Iceland","97.2180330781624","98.699464985442","98.8053642268475","98.5807621530016","98.7412443375783","98.7412443375783","Human health and welfare","human health","human health","Europe"
"24","Iceland","76.25","76.25","76.25","76.25","76.25","76.25","Human health and welfare","landscape and amenity","landscape and amenitys","Europe"
"25","Iceland","86.0980546946903","86.7515660097266","86.7980934254729","86.6993835858501","86.7699249783031","86.7699249783031","Human health and welfare","Human health and welfare","Human health and welfare","Europe"
"26","Iceland","55.5086237900331","55.7383088825054","55.8225372476668","55.6641630288118","55.786198660513","55.5966206487764","14","SESI","SESI","Europe"
