"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","India","100","100","100","100","100","100","Source","renewable ressources","state of forest reccources","Asia"
"2","India","71.38125","71.38125","70.037","70.037","70.037","70.037","Source","renewable ressources","Proportion of fish stocks not overexploited","Asia"
"3","India","57.554","57.554","57.554","57.554","57.554","57.554","Source","renewable ressources","Surfacewater Stress","Asia"
"4","India","46.92901","46.92901","46.92901","46.92901","46.92901","46.92901","Source","renewable ressources","Groundwater stress","Asia"
"5","India","11.29375","11.29375","11.29375","11.29375","11.29375","11.29375","Source","non-renewables ressources","area with tolerable erosion","Asia"
"6","India","87.150592125","86.9796705","85.073939625","83.254863","83.647262875","86.952054","Sink","global System","CO2 emissions [tonnes per capita]","Asia"
"7","India","34.985791832125","33.539438508472","47.250788908955","41.4034078785072","38.5047681501104","73.3771225898664","Sink","global System","Consumption of HCFC in ODP per capita","Asia"
"8","India","48.739045","49.07488","49.353425","49.5892716666667","49.78174","49.9079933333333","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia"
"9","India","79.7175","78.2545","76.459","75.984","75.0625","75.471","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia"
"10","India","5","5","5","5","5","5","Human health and welfare","human health","Concentrations of PM2.5","Asia"
"11","India","38.9285755","38.9285755","49.53125","49.53125","49.53125","49.53125","Human health and welfare","landscape and amenity","status of world heritage sites","Asia"
"12","India","66.2636361203206","66.2636361203206","65.9494396752638","65.9494396752638","65.9494396752638","65.9494396752638","Source","renewable ressources","renewable ressources","Asia"
"13","India","11.29375","11.29375","11.29375","11.29375","11.29375","11.29375","Source","non-renewable ressources","non-renewable ressources","Asia"
"14","India","27.3562596206768","27.3562596206768","27.2913261739423","27.2913261739423","27.2913261739423","27.2913261739423","Source","Source","Source","Asia"
"15","India","55.2180448235147","54.0115664485109","63.4019775943468","58.7114558724125","56.7522551392736","79.8767270598807","Sink","global System","global System","Asia"
"16","India",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Asia"
"17","India","55.2180448235147","54.0115664485109","63.4019775943468","58.7114558724125","56.7522551392736","79.8767270598807","Sink","Sink","Sink","Asia"
"18","India","62.332614414827","61.9703977473116","61.4289306603574","61.3839654822007","61.1288954484702","61.3726825620324","Life support","ecosystem health","ecosystem health","Asia"
"19","India","62.332614414827","61.9703977473116","61.4289306603574","61.3839654822007","61.1288954484702","61.3726825620324","Life support","Life support","Life support","Asia"
"20","India","5","5","5","5","5","5","Human health and welfare","human health","human health","Asia"
"21","India","38.9285755","38.9285755","49.53125","49.53125","49.53125","49.53125","Human health and welfare","landscape and amenity","landscape and amenitys","Asia"
"22","India","13.95144714716","13.95144714716","15.7370978900177","15.7370978900177","15.7370978900177","15.7370978900177","Human health and welfare","Human health and welfare","Human health and welfare","Asia"
"23","India","33.8546310877165","33.6191522421139","35.9630288546891","35.2721367224665","34.9377344501337","38.092209440116","11","SESI layer","SESI layer","Asia"
