"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Indonesia","5","5","5","5","5","5","Source","renewable ressources","state of forest reccources","Asia"
"2","Indonesia","78.95275","78.95275","74.4355","74.4355","74.4355","74.4355","Source","renewable ressources","Proportion of fish stocks not overexploited","Asia"
"3","Indonesia","9.788","10.9533333333333","10.9533333333333","10.9533333333333","10.9533333333333","10.9533333333333","Source","renewable ressources","Surfacewater Stress","Asia"
"4","Indonesia","100","100","100","100","100","100","Source","renewable ressources","Groundwater stress","Asia"
"5","Indonesia","51.19375","51.19375","51.19375","51.19375","51.19375","51.19375","Source","non-renewables ressources","area with tolerable erosion","Asia"
"6","Indonesia","61.52202175","62.89405925","58.05199475","50.912861125","46.742931125","45.00762075","Sink","global System","CO2 emissions [tonnes per capita]","Asia"
"7","Indonesia","60.318229273116","36.1816077731684","37.4594134771009","38.5692939961223","43.769727066336","100","Sink","global System","Consumption of HCFC in ODP per capita","Asia"
"8","Indonesia","63.8800666666667","63.6757125","63.5007966666667","63.3330916666667","63.1758133333333","63.005955","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia"
"9","Indonesia","81.798","87.4885","85.864","85.7405","82.406","76.706","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia"
"10","Indonesia","54.59","50.03","57.535","57.345","54.59","54.59","Human health and welfare","human health","Concentrations of PM2.5","Asia"
"11","Indonesia","22.8125","22.8125","28.75","28.75","28.75","28.75","Human health and welfare","landscape and amenity","status of world heritage sites","Asia"
"12","Indonesia","24.9320395202649","25.6431216447693","25.268188302853","25.268188302853","25.268188302853","25.268188302853","Source","renewable ressources","renewable ressources","Asia"
"13","Indonesia","51.19375","51.19375","51.19375","51.19375","51.19375","51.19375","Source","non-renewable ressources","non-renewable ressources","Asia"
"14","Indonesia","35.7262452293907","36.2321343382074","35.966280248716","35.966280248716","35.966280248716","35.966280248716","Source","Source","Source","Asia"
"15","Indonesia","60.9171520449055","47.703335135459","46.6325387954671","44.3133513617947","45.2319061904514","67.0877192562096","Sink","global System","global System","Asia"
"16","Indonesia",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Asia"
"17","Indonesia","60.9171520449055","47.703335135459","46.6325387954671","44.3133513617947","45.2319061904514","67.0877192562096","Sink","Sink","Sink","Asia"
"18","Indonesia","72.2859716210552","74.638412182041","73.8405877887404","73.689965029479","72.1530739022716","69.5193123112564","Life support","ecosystem health","ecosystem health","Asia"
"19","Indonesia","72.2859716210552","74.638412182041","73.8405877887404","73.689965029479","72.1530739022716","69.5193123112564","Life support","Life support","Life support","Asia"
"20","Indonesia","54.59","50.03","57.535","57.345","54.59","54.59","Human health and welfare","human health","human health","Asia"
"21","Indonesia","22.8125","22.8125","28.75","28.75","28.75","28.75","Human health and welfare","landscape and amenity","landscape and amenitys","Asia"
"22","Indonesia","35.2892954732735","33.7832706379948","40.671012404414","40.6038021618666","39.616442293573","39.616442293573","Human health and welfare","Human health and welfare","Human health and welfare","Asia"
"23","Indonesia","48.5406954568001","45.6905816124899","47.3741224365845","46.7305931411226","46.4373770219405","50.7726548340119","11","SESI","SESI","Asia"
