"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Iraq","100","100","100","100","100","100","Source","renewable ressources","state of forest reccources","Asia"
"2","Iraq","68.3365","68.3365","69.8755","69.8755","69.8755","69.8755","Source","renewable ressources","Proportion of fish stocks not overexploited","Asia"
"3","Iraq","35.4253333333333","41.8473333333333","49.9413333333333","33.044","74.046","74.046","Source","renewable ressources","Surfacewater Stress","Asia"
"4","Iraq","5","5","5","5","5","5","Source","renewable ressources","Groundwater stress","Asia"
"5","Iraq","92.1625","92.1625","92.1625","92.1625","92.1625","92.1625","Source","non-renewables ressources","area with tolerable erosion","Asia"
"6","Iraq","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","Asia"
"7","Iraq","9.12094422635055","9.27755968388405","10.9513873862735","9.8159253191555","9.12094422635055","10.5816047917888","Sink","global System","Consumption of HCFC in ODP per capita","Asia"
"8","Iraq",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia"
"9","Iraq","90.7945","90.576","90.4145","90.3385","90.272","88.049","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia"
"10","Iraq","5","5","5","5","5","5","Human health and welfare","human health","Concentrations of PM2.5","Asia"
"11","Iraq","59.5585475","60.0172835","60.47544","60.9327415","61.3887985","61.681237","Human health and welfare","human health","Drinking water contamination","Asia"
"12","Iraq",NA,NA,"28.75","28.75","28.75","28.75","Human health and welfare","landscape and amenity","status of world heritage sites","Asia"
"13","Iraq","33.1691368658811","34.5798122616549","36.3445056837471","32.7790895394939","40.1050566276028","40.1050566276028","Source","renewable ressources","renewable ressources","Asia"
"14","Iraq","92.1625","92.1625","92.1625","92.1625","92.1625","92.1625","Source","non-renewable ressources","non-renewable ressources","Asia"
"15","Iraq","55.2896968376728","56.4531836796187","57.8757333005668","54.9636501670295","60.796235750591","60.796235750591","Source","Source","Source","Asia"
"16","Iraq","6.75312676704301","6.81085886062986","7.39979303300893","7.00568530522015","6.75312676704301","7.27379020586544","Sink","global System","global System","Asia"
"17","Iraq",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Asia"
"18","Iraq","6.75312676704301","6.81085886062986","7.39979303300893","7.00568530522015","6.75312676704301","7.27379020586544","Sink","Sink","Sink","Asia"
"19","Iraq","90.7945","90.576","90.4145","90.3385","90.272","88.049","Life support","ecosystem health","ecosystem health","Asia"
"20","Iraq","90.7945","90.576","90.4145","90.3385","90.272","88.049","Life support","Life support","Life support","Asia"
"21","Iraq","17.2566722603172","17.3230025544072","17.3889965207887","17.4546185148802","17.5198171366028","17.5614972311588","Human health and welfare","human health","human health","Asia"
"22","Iraq",NA,NA,"28.75","28.75","28.75","28.75","Human health and welfare","landscape and amenity","landscape and amenitys","Asia"
"23","Iraq","17.2566722603172","17.3230025544072","22.3591960940611","22.4013455467033","22.4431446699728","22.4698252195209","Human health and welfare","Human health and welfare","Human health and welfare","Asia"
"24","Iraq","27.6561311352294","27.8696591107121","30.5037046569644","29.7110700316793","30.1998364853764","30.5837261173289","12","SESI layer","SESI layer","Asia"
