"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Isle of Man","100","100","100","100","100","100","Source","renewable ressources","state of forest reccources","Europe"
"2","Isle of Man","74.7965","74.7965","80.3445","80.3445","80.3445","80.3445","Source","renewable ressources","Proportion of fish stocks not overexploited","Europe"
"3","Isle of Man","42.5146366666667","42.6680616666667","42.6484266666667","42.8010866666667","42.7773008333333","42.9374975","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe"
"4","Isle of Man","99.12125","99.12125","99.12125","99.12125","99.12125","99.12125","Human health and welfare","human health","Drinking water contamination","Europe"
"5","Isle of Man","86.4849697924443","86.4849697924443","89.6350935738899","89.6350935738899","89.6350935738899","89.6350935738899","Source","renewable ressources","renewable ressources","Europe"
"6","Isle of Man",NA,NA,NA,NA,NA,NA,"Source","non-renewable ressources","non-renewable ressources","Europe"
"7","Isle of Man","86.4849697924443","86.4849697924443","89.6350935738899","89.6350935738899","89.6350935738899","89.6350935738899","Source","Source","Source","Europe"
"8","Isle of Man",NA,NA,NA,NA,NA,NA,"Sink","global System","global System","Europe"
"9","Isle of Man",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Europe"
"10","Isle of Man",NA,NA,NA,NA,NA,NA,"Sink","Sink","Sink","Europe"
"11","Isle of Man","42.5146366666667","42.6680616666667","42.6484266666667","42.8010866666667","42.7773008333333","42.9374975","Life support","ecosystem health","ecosystem health","Europe"
"12","Isle of Man","42.5146366666667","42.6680616666667","42.6484266666667","42.8010866666667","42.7773008333333","42.9374975","Life support","Life support","Life support","Europe"
"13","Isle of Man","99.12125","99.12125","99.12125","99.12125","99.12125","99.12125","Human health and welfare","human health","human health","Europe"
"14","Isle of Man",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Europe"
"15","Isle of Man","99.12125","99.12125","99.12125","99.12125","99.12125","99.12125","Human health and welfare","Human health and welfare","Human health and welfare","Europe"
"16","Isle of Man","71.4302154505897","71.5160370642191","72.3628983928366","72.4491365518739","72.4357133536734","72.5260221891522","4","SESI layer","SESI layer","Europe"
