"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Israel","100","100","100","100","100","100","Source","renewable ressources","state of forest reccources","Asia"
"2","Israel","40.948","40.948","40.625","40.625","40.625","40.625","Source","renewable ressources","Proportion of fish stocks not overexploited","Asia"
"3","Israel","98.5686666666667","5","5","94.8573333333333","5","5","Source","renewable ressources","Surfacewater Stress","Asia"
"4","Israel","51.5989186666667","62.9268326666667","61.89702","52.6287313333333","53.6585313333333","46.449868","Source","renewable ressources","Groundwater stress","Asia"
"5","Israel","87.53125","87.53125","87.53125","87.53125","87.53125","87.53125","Source","non-renewables ressources","area with tolerable erosion","Asia"
"6","Israel","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","Asia"
"7","Israel","17.6182330448782","10.8826261281484","8.76488072201495","18.7359320092264","20.5595461089524","11.6599899849775","Sink","global System","Consumption of HCFC in ODP per capita","Asia"
"8","Israel","100","100","100","100","100","100","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia"
"9","Israel","68.46","66.294","67.776","68.688","69.334","69.1535","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia"
"10","Israel","47.275","52.8166666666667","53.9566666666667","51.8033333333333","54.1783333333333","54.1783333333333","Human health and welfare","human health","Concentrations of PM2.5","Asia"
"11","Israel","99.550935","99.5116715","99.4724555","99.433268","99.3941185","99.3550165","Human health and welfare","human health","Drinking water contamination","Asia"
"12","Israel","67.5543071664526","33.6906696208607","33.4856150078244","67.1076138137293","32.3110104665415","31.1664233498895","Source","renewable ressources","renewable ressources","Asia"
"13","Israel","87.53125","87.53125","87.53125","87.53125","87.53125","87.53125","Source","non-renewable ressources","non-renewable ressources","Asia"
"14","Israel","76.8967681321104","54.3045709425179","54.1390592701206","76.6421119335382","53.1810411227484","52.2306039965557","Source","Source","Source","Asia"
"15","Israel","9.38568938461054","7.37652564834841","6.62000027266425","9.67882534433451","10.1389215671472","7.63544038840508","Sink","global System","global System","Asia"
"16","Israel",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Asia"
"17","Israel","9.38568938461054","7.37652564834841","6.62000027266425","9.67882534433451","10.1389215671472","7.63544038840508","Sink","Sink","Sink","Asia"
"18","Israel","82.7405583737504","81.4211274792974","82.3261805260028","82.8782239191936","83.2670402980675","83.1585834415185","Life support","ecosystem health","ecosystem health","Asia"
"19","Israel","82.7405583737504","81.4211274792974","82.3261805260028","82.8782239191936","83.2670402980675","83.1585834415185","Life support","Life support","Life support","Asia"
"20","Israel","68.6022627332729","72.4974122507717","73.261191117319","71.7702913929341","73.3826115879357","73.3681756777135","Human health and welfare","human health","human health","Asia"
"21","Israel",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Asia"
"22","Israel","68.6022627332729","72.4974122507717","73.261191117319","71.7702913929341","73.3826115879357","73.3681756777135","Human health and welfare","Human health and welfare","Human health and welfare","Asia"
"23","Israel","44.9891500215709","39.2136226303288","38.3438011469719","45.8320006515475","42.6043282992376","39.4951243476494","11","SESI layer","SESI layer","Asia"
