"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Italy","100","100","100","100","100","100","Source","renewable ressources","state of forest reccources","Europe"
"2","Italy","40.948","40.948","40.625","40.625","40.625","40.625","Source","renewable ressources","Proportion of fish stocks not overexploited","Europe"
"3","Italy","11.232","11.1306666666667","11.0293333333333","10.928","11.1053333333333","10.89","Source","renewable ressources","Surfacewater Stress","Europe"
"4","Italy",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Europe"
"5","Italy","75.89375","75.89375","75.89375","75.89375","75.89375","75.89375","Source","non-renewables ressources","area with tolerable erosion","Europe"
"6","Italy","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","Europe"
"7","Italy","100","100","100","100","100","100","Sink","global System","Consumption of HCFC in ODP per capita","Europe"
"8","Italy","55.7761383333333","55.840965","55.965235","56.0520908333333","56.0847875","56.1823816666667","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe"
"9","Italy","67.928","65.477","67.339","67.0445","66.75","66.465","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe"
"10","Italy","61.1133333333333","65.7366666666667","66.0216666666667","65.2616666666667","70.8033333333333","70.8033333333333","Human health and welfare","human health","Concentrations of PM2.5","Europe"
"11","Italy","96.0325055","96.0325055","96.0325055","96.0325055","96.0325055","96.0325055","Human health and welfare","human health","Drinking water contamination","Europe"
"12","Italy","62","62","57.25","57.25","57.25","57.25","Human health and welfare","landscape and amenity","status of world heritage sites","Europe"
"13","Italy","35.8286075344588","35.720535193048","35.5179216966138","35.4088117912939","35.5993163259972","35.3677217022223","Source","renewable ressources","renewable ressources","Europe"
"14","Italy","75.89375","75.89375","75.89375","75.89375","75.89375","75.89375","Source","non-renewable ressources","non-renewable ressources","Europe"
"15","Italy","52.1456362802136","52.0669316150605","51.919054977555","51.8392468105538","51.9785110734826","51.8091597011381","Source","Source","Source","Europe"
"16","Italy","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","Sink","global System","global System","Europe"
"17","Italy",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Europe"
"18","Italy","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","Sink","Sink","Sink","Europe"
"19","Italy","61.5529164597963","60.4673371772315","61.3892739789696","61.3024012896348","61.1854522384611","61.1077899901068","Life support","ecosystem health","ecosystem health","Europe"
"20","Italy","61.5529164597963","60.4673371772315","61.3892739789696","61.3024012896348","61.1854522384611","61.1077899901068","Life support","Life support","Life support","Europe"
"21","Italy","76.6085277202001","79.4534883011334","79.6255365274598","79.1659103598628","82.4586047526373","82.4586047526373","Human health and welfare","human health","human health","Europe"
"22","Italy","62","62","57.25","57.25","57.25","57.25","Human health and welfare","landscape and amenity","landscape and amenitys","Europe"
"23","Italy","68.9182756506023","70.1862969152118","67.5171235035755","67.3219753728465","68.7077515429554","68.7077515429554","Human health and welfare","Human health and welfare","Human health and welfare","Europe"
"24","Italy","47.1597509372452","47.1471060156316","46.8359735871064","46.7675377638067","47.0154597179322","46.9622035018628","12","SESI","SESI","Europe"
