"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Japan","100","99.9340066666667","99.8070233333334","99.8070233333334","99.8070233333334","99.8070233333334","Source","renewable ressources","state of forest reccources","Asia"
"2","Japan","83.5555","83.5555","67.111","67.111","67.111","67.111","Source","renewable ressources","Proportion of fish stocks not overexploited","Asia"
"3","Japan","19.8706666666667","19.744","19.516","19.402","18.9966666666667","18.9966666666667","Source","renewable ressources","Surfacewater Stress","Asia"
"4","Japan","15.414812","15.086416","14.6172806666667","14.6172806666667","13.67901","13.67901","Source","renewable ressources","Groundwater stress","Asia"
"5","Japan","71.14375","71.14375","71.14375","71.14375","71.14375","71.14375","Source","non-renewables ressources","area with tolerable erosion","Asia"
"6","Japan","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","Asia"
"7","Japan","79.9720732139314","88.0882812592013","89.1400316548874","90.4999053252508","87.7216317759262","100","Sink","global System","Consumption of HCFC in ODP per capita","Asia"
"8","Japan","54.875","54.875","54.875","54.875","54.875","54.875","Sink","critical ecosystems","Proportion of surface water in good chemical status","Asia"
"9","Japan","5","5","5","5","5","5","Sink","critical ecosystems","Proportion of ground water in good chemical status","Asia"
"10","Japan","88.0425916666667","88.0205766666667","87.9919458333333","87.95847","87.9206591666667","87.9040983333333","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia"
"11","Japan","78.0645","76.5825","75.205","74.7015","74.692","74.6635","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia"
"12","Japan","75.4583333333333","76.1233333333333","78.1816666666667","81.4116666666667","81.5066666666667","81.5066666666667","Human health and welfare","human health","Concentrations of PM2.5","Asia"
"13","Japan","98.9766695","99.0137385","99.050817","99.0878955","99.1249645","99.1249645","Human health and welfare","human health","Drinking water contamination","Asia"
"14","Japan","58.4375","58.4375","58.4375","58.4375","58.4375","58.4375","Human health and welfare","landscape and amenity","status of world heritage sites","Asia"
"15","Japan","39.9973693267217","39.7125149135327","37.1794578152688","37.125043817251","36.3221644758236","36.3221644758236","Source","renewable ressources","renewable ressources","Asia"
"16","Japan","71.14375","71.14375","71.14375","71.14375","71.14375","71.14375","Source","non-renewable ressources","non-renewable ressources","Asia"
"17","Japan","53.3438172990831","53.1535251218547","51.4304000756851","51.3927508124789","50.8339944223044","50.8339944223044","Source","Source","Source","Asia"
"18","Japan","19.9965088470377","20.9866959356638","21.1116119297991","21.2720362595181","20.9429739740952","22.3606797749979","Sink","global System","global System","Asia"
"19","Japan","16.5642687734774","16.5642687734774","16.5642687734774","16.5642687734774","16.5642687734774","16.5642687734774","Sink","critical ecosystems","critical ecosystems","Asia"
"20","Japan","18.1996578834205","18.6448189088975","18.7002249785008","18.7711407741196","18.625387239541","19.2454750461173","Sink","Sink","Sink","Asia"
"21","Japan","82.9035638387307","82.1025932146787","81.3476138949129","81.0594204685982","81.0368426981004","81.0137497336769","Life support","ecosystem health","ecosystem health","Asia"
"22","Japan","82.9035638387307","82.1025932146787","81.3476138949129","81.0594204685982","81.0368426981004","81.0137497336769","Life support","Life support","Life support","Asia"
"23","Japan","86.4211462511009","86.8173704993131","87.9997611232838","89.8159825373386","89.88517920017","89.88517920017","Human health and welfare","human health","human health","Asia"
"24","Japan","58.4375","58.4375","58.4375","58.4375","58.4375","58.4375","Human health and welfare","landscape and amenity","landscape and amenitys","Asia"
"25","Japan","71.0650106173827","71.2277339844081","71.7111291268092","72.447370411394","72.4752727453297","72.4752727453297","Human health and welfare","Human health and welfare","Human health and welfare","Asia"
"26","Japan","48.9039664813834","49.0652550873338","48.6686756285702","48.7870617386343","48.5604809678271","48.9562186988637","14","SESI layer","SESI layer","Asia"
