"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Jersey",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Europe"
"2","Jersey","74.7965","74.7965","80.3445","80.3445","80.3445","80.3445","Source","renewable ressources","Proportion of fish stocks not overexploited","Europe"
"3","Jersey",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe"
"4","Jersey","74.3785","72.8775","74.5495","74.1885","73.8845","73.837","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe"
"5","Jersey","74.7965","74.7965","80.3445","80.3445","80.3445","80.3445","Source","renewable ressources","renewable ressources","Europe"
"6","Jersey",NA,NA,NA,NA,NA,NA,"Source","non-renewable ressources","non-renewable ressources","Europe"
"7","Jersey","74.7965","74.7965","80.3445","80.3445","80.3445","80.3445","Source","Source","Source","Europe"
"8","Jersey",NA,NA,NA,NA,NA,NA,"Sink","global System","global System","Europe"
"9","Jersey",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Europe"
"10","Jersey",NA,NA,NA,NA,NA,NA,"Sink","Sink","Sink","Europe"
"11","Jersey","74.3785","72.8775","74.5495","74.1885","73.8845","73.837","Life support","ecosystem health","ecosystem health","Europe"
"12","Jersey","74.3785","72.8775","74.5495","74.1885","73.8845","73.837","Life support","Life support","Life support","Europe"
"13","Jersey",NA,NA,NA,NA,NA,NA,"Human health and welfare","human health","human health","Europe"
"14","Jersey",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Europe"
"15","Jersey",NA,NA,NA,NA,NA,NA,"Human health and welfare","Human health and welfare","Human health and welfare","Europe"
"16","Jersey","74.5872071822642","73.8307654623057","77.3927793967241","77.2051678208784","77.0468247901885","77.0220542864185","4","SESI","SESI","Europe"
