"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Jordan","100","100","100","100","100","100","Source","renewable ressources","state of forest reccources","Asia"
"2","Jordan","95.136","5","5","5","5","5","Source","renewable ressources","Surfacewater Stress","Asia"
"3","Jordan","5","5","5","5","5","5","Source","renewable ressources","Groundwater stress","Asia"
"4","Jordan","100","100","100","100","100","100","Source","non-renewables ressources","area with tolerable erosion","Asia"
"5","Jordan","62.880992","66.4921225","64.762212875","69.097925","69.9603065","74.4316335","Sink","global System","CO2 emissions [tonnes per capita]","Asia"
"6","Jordan","5.90632411332748","46.8185604966307","70.2425710312208","67.498068434525","70.510638726712","48.9442308945208","Sink","global System","Consumption of HCFC in ODP per capita","Asia"
"7","Jordan","79.4325","79.4325","79.4325","79.4325","79.4325","100","Sink","critical ecosystems","Proportion of surface water in good chemical status","Asia"
"8","Jordan","100","100","100","100","100",NA,"Sink","critical ecosystems","Proportion of ground water in good chemical status","Asia"
"9","Jordan",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia"
"10","Jordan","90.1485","90.0345","89.911","89.797","89.6735","89.55","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia"
"11","Jordan","35.59","37.0783333333333","35.7483333333333","33.975","33.9116666666667","33.9116666666667","Human health and welfare","human health","Concentrations of PM2.5","Asia"
"12","Jordan","98.454103","98.440689","98.4271325","98.413424","98.399592","98.385608","Human health and welfare","human health","Drinking water contamination","Asia"
"13","Jordan","52.5","52.5","52.5","52.5","52.5","52.5","Human health and welfare","landscape and amenity","status of world heritage sites","Asia"
"14","Jordan","36.2330558940799","13.5720880829745","13.5720880829745","13.5720880829745","13.5720880829745","13.5720880829745","Source","renewable ressources","renewable ressources","Asia"
"15","Jordan","100","100","100","100","100","100","Source","non-renewable ressources","non-renewable ressources","Asia"
"16","Jordan","60.1938999351927","36.8403149864038","36.8403149864038","36.8403149864038","36.8403149864038","36.8403149864038","Source","Source","Source","Asia"
"17","Jordan","19.2716247192486","55.7948515529491","67.4467518714669","68.2933120468884","70.2349335931311","60.3572618321967","Sink","global System","global System","Asia"
"18","Jordan","89.1249123421729","89.1249123421729","89.1249123421729","89.1249123421729","89.1249123421729","100","Sink","critical ecosystems","critical ecosystems","Asia"
"19","Jordan","41.4437192321621","70.5174535402487","77.5318376430533","78.0168920794439","79.1181540472611","77.6899361772145","Sink","Sink","Sink","Asia"
"20","Jordan","90.1485","90.0345","89.911","89.797","89.6735","89.55","Life support","ecosystem health","ecosystem health","Asia"
"21","Jordan","90.1485","90.0345","89.911","89.797","89.6735","89.55","Life support","Life support","Life support","Asia"
"22","Jordan","59.1944383009924","60.4153679150015","59.3178383090126","57.8238366108649","57.7658563862772","57.7617515601227","Human health and welfare","human health","human health","Asia"
"23","Jordan","52.5","52.5","52.5","52.5","52.5","52.5","Human health and welfare","landscape and amenity","landscape and amenitys","Asia"
"24","Jordan","55.7468206340245","56.3187962898496","55.8048968391051","55.0976535078438","55.0700232456783","55.0680665804279","Human health and welfare","Human health and welfare","Human health and welfare","Asia"
"25","Jordan","59.5041770619726","60.2449390355754","61.5279063764123","61.4082509580909","61.5948944478197","61.2933529872231","13","SESI","SESI","Asia"
