"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Kosovo",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Europe"
"2","Kosovo","66.9875","66.9875","66.9875","66.9875","66.9875","66.9875","Source","non-renewables ressources","area with tolerable erosion","Europe"
"3","Kosovo",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","renewable ressources","Europe"
"4","Kosovo","66.9875","66.9875","66.9875","66.9875","66.9875","66.9875","Source","non-renewable ressources","non-renewable ressources","Europe"
"5","Kosovo","66.9875","66.9875","66.9875","66.9875","66.9875","66.9875","Source","Source","Source","Europe"
"6","Kosovo",NA,NA,NA,NA,NA,NA,"Sink","global System","global System","Europe"
"7","Kosovo",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Europe"
"8","Kosovo",NA,NA,NA,NA,NA,NA,"Sink","Sink","Sink","Europe"
"9","Kosovo",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","ecosystem health","Europe"
"10","Kosovo",NA,NA,NA,NA,NA,NA,"Life support","Life support","Life support","Europe"
"11","Kosovo",NA,NA,NA,NA,NA,NA,"Human health and welfare","human health","human health","Europe"
"12","Kosovo",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Europe"
"13","Kosovo",NA,NA,NA,NA,NA,NA,"Human health and welfare","Human health and welfare","Human health and welfare","Europe"
"14","Kosovo","66.9875","66.9875","66.9875","66.9875","66.9875","66.9875","2","SESI layer","SESI layer","Europe"
