"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Laos","63.2407","62.0132366666666","60.7857733333333","59.5583733333333","5","57.1034466666667","Source","renewable ressources","state of forest reccources","Asia"
"2","Laos","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","Asia"
"3","Laos",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Asia"
"4","Laos","62.7125","62.7125","62.7125","62.7125","62.7125","62.7125","Source","non-renewables ressources","area with tolerable erosion","Asia"
"5","Laos","66.94730075","42.1223425","31.974150375","32.475123375","35.849005625","33.622158125","Sink","global System","CO2 emissions [tonnes per capita]","Asia"
"6","Laos","6.36233269598471","8.17877629063099","73.5707456978968","61.3097514340344","41.782982791587","10.0938337801609","Sink","global System","Consumption of HCFC in ODP per capita","Asia"
"7","Laos",NA,NA,NA,NA,NA,"81","Sink","critical ecosystems","Proportion of surface water in good chemical status","Asia"
"8","Laos","89.1884341666667","88.9606058333333","88.7572575","88.5630891666667","88.3648975","88.1723866666667","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia"
"9","Laos","50.7583333333333","42.715","53.5133333333333","53.5133333333333","48.8583333333333","48.8583333333333","Human health and welfare","human health","Concentrations of PM2.5","Asia"
"10","Laos","20.0829695","20.4895505","20.895951","21.3021615","21.7083055","21.797805","Human health and welfare","human health","Drinking water contamination","Asia"
"11","Laos","79.5240215280892","78.7484835832835","77.9652315672398","77.1740716389471","22.3606797749979","75.5668225259384","Source","renewable ressources","renewable ressources","Asia"
"12","Laos","62.7125","62.7125","62.7125","62.7125","62.7125","62.7125","Source","non-renewable ressources","non-renewable ressources","Asia"
"13","Laos","70.6197578591168","70.274563511392","69.9242059995001","69.5685199472971","37.4472179258961","68.840281504784","Source","Source","Source","Asia"
"14","Laos","20.6383381227667","18.5609594618608","48.5011555135075","44.6210907745525","38.7024338398101","18.4221734723142","Sink","global System","global System","Asia"
"15","Laos",NA,NA,NA,NA,NA,"81","Sink","critical ecosystems","critical ecosystems","Asia"
"16","Laos","20.6383381227667","18.5609594618608","48.5011555135075","44.6210907745525","38.7024338398101","38.6289535356247","Sink","Sink","Sink","Asia"
"17","Laos","89.1884341666667","88.9606058333333","88.7572575","88.5630891666667","88.3648975","88.1723866666667","Life support","ecosystem health","ecosystem health","Asia"
"18","Laos","89.1884341666667","88.9606058333333","88.7572575","88.5630891666667","88.3648975","88.1723866666667","Life support","Life support","Life support","Asia"
"19","Laos","31.9277005154484","29.5839677799902","33.4396769000539","33.7631406872939","32.5673398701956","32.6344055043906","Human health and welfare","human health","human health","Asia"
"20","Laos",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Asia"
"21","Laos","31.9277005154484","29.5839677799902","33.4396769000539","33.7631406872939","32.5673398701956","32.6344055043906","Human health and welfare","Human health and welfare","Human health and welfare","Asia"
"22","Laos","45.1356064362099","43.0440555228462","56.3263220639532","55.1965756648217","45.1913145870909","52.5945775033101","10","SESI layer","SESI layer","Asia"
