"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Latvia",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Europe"
"2","Latvia","74.7965","74.7965","80.3445","80.3445","80.3445","80.3445","Source","renewable ressources","Proportion of fish stocks not overexploited","Europe"
"3","Latvia","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","Europe"
"4","Latvia","100","100","100","100","100","100","Source","renewable ressources","Groundwater stress","Europe"
"5","Latvia","100","100","100","100","100","100","Source","non-renewables ressources","area with tolerable erosion","Europe"
"6","Latvia","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","Europe"
"7","Latvia","100","100","100","100","100","100","Sink","global System","Consumption of HCFC in ODP per capita","Europe"
"8","Latvia","65.3725","65.3725","65.3725","65.3725","65.3725","66.6075","Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe"
"9","Latvia","100","100","100","100","100","100","Sink","critical ecosystems","Proportion of ground water in good chemical status","Europe"
"10","Latvia","84.0545475","84.003675","83.9687683333333","83.9042391666667","83.867845","83.8321308333333","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe"
"11","Latvia","74.445","73.1245","72.925","72.0415","73.267","73.191","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe"
"12","Latvia","73.4","77.3583333333333","79.5433333333333","75.1733333333333","77.77","77.77","Human health and welfare","human health","Concentrations of PM2.5","Europe"
"13","Latvia","98.949053","99.075327","99.201772","99.3283595","99.442046","99.491655","Human health and welfare","human health","Drinking water contamination","Europe"
"14","Latvia","90.7737809760898","90.7737809760898","92.9648381354279","92.9648381354279","92.9648381354279","92.9648381354279","Source","renewable ressources","renewable ressources","Europe"
"15","Latvia","100","100","100","100","100","100","Source","non-renewable ressources","non-renewable ressources","Europe"
"16","Latvia","95.2752753740916","95.2752753740916","96.4182753088998","96.4182753088998","96.4182753088998","96.4182753088998","Source","Source","Source","Europe"
"17","Latvia","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","22.3606797749979","Sink","global System","global System","Europe"
"18","Latvia","80.8532621481657","80.8532621481657","80.8532621481657","80.8532621481657","80.8532621481657","81.6134180144417","Sink","critical ecosystems","critical ecosystems","Europe"
"19","Latvia","42.5198060162449","42.5198060162449","42.5198060162449","42.5198060162449","42.5198060162449","42.7192170523288","Sink","Sink","Sink","Europe"
"20","Latvia","79.1039871854605","78.3755493284577","78.2522998429332","77.7469436436277","78.3884264392072","78.331076130885","Life support","ecosystem health","ecosystem health","Europe"
"21","Latvia","79.1039871854605","78.3755493284577","78.2522998429332","77.7469436436277","78.3884264392072","78.331076130885","Life support","Life support","Life support","Europe"
"22","Latvia","85.222417767862","87.54600031512","88.8303980484909","86.4109013848754","87.9409342537365","87.9628672187873","Human health and welfare","human health","human health","Europe"
"23","Latvia",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Europe"
"24","Latvia","85.222417767862","87.54600031512","88.8303980484909","86.4109013848754","87.9409342537365","87.9628672187873","Human health and welfare","Human health and welfare","Human health and welfare","Europe"
"25","Latvia","72.2904499934052","72.6101106540061","73.0638138150681","72.4437000089888","72.9118996861398","72.9884310686984","13","SESI","SESI","Europe"
