"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Lebanon","100","100","100","100","100","100","Source","renewable ressources","state of forest reccources","Asia"
"2","Lebanon","40.948","40.948","40.625","40.625","40.625","40.625","Source","renewable ressources","Proportion of fish stocks not overexploited","Asia"
"3","Lebanon","47.8006666666667","47.8006666666667","47.8006666666667","47.8006666666667","47.8006666666667","47.8006666666667","Source","renewable ressources","Surfacewater Stress","Asia"
"4","Lebanon","19.25","19.25","19.25","19.25","19.25","19.25","Source","renewable ressources","Groundwater stress","Asia"
"5","Lebanon","21.15","21.15","21.15","21.15","21.15","21.15","Source","non-renewables ressources","area with tolerable erosion","Asia"
"6","Lebanon","24.778470375","17.27580975","7.48736125","10.171887875","5","11.6130735","Sink","global System","CO2 emissions [tonnes per capita]","Asia"
"7","Lebanon","5.48864616269043","15.5490083357287","20.8810002874389","25.9542972118425","37.1644150617994","30.2929707972579","Sink","global System","Consumption of HCFC in ODP per capita","Asia"
"8","Lebanon","28.75","28.75","28.75","28.75","28.75",NA,"Sink","critical ecosystems","Proportion of surface water in good chemical status","Asia"
"9","Lebanon","100","100","100","100","100",NA,"Sink","critical ecosystems","Proportion of ground water in good chemical status","Asia"
"10","Lebanon","35.099095","34.4042058333333","32.53881","32.5674266666667","32.5962841666667","31.9159866666667","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia"
"11","Lebanon","58.979","64.0045","65.0305","65.4485","64.698","62.7505","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia"
"12","Lebanon","38.2816666666667","39.485","41.3216666666667","39.58","39.105","39.105","Human health and welfare","human health","Concentrations of PM2.5","Asia"
"13","Lebanon","49.641792","49.8162215","49.9906415","50.1650615","50.315","50.315","Human health and welfare","human health","Drinking water contamination","Asia"
"14","Lebanon","44.0579560674863","44.0579560674863","43.9708150025226","43.9708150025226","43.9708150025226","43.9708150025226","Source","renewable ressources","renewable ressources","Asia"
"15","Lebanon","21.15","21.15","21.15","21.15","21.15","21.15","Source","non-renewable ressources","non-renewable ressources","Asia"
"16","Lebanon","30.5258213784222","30.5258213784222","30.495618329579","30.495618329579","30.495618329579","30.495618329579","Source","Source","Source","Asia"
"17","Lebanon","11.6619147802187","16.3896830295529","12.5037431360936","16.2482060890822","13.6316571006242","18.7561855504233","Sink","global System","global System","Asia"
"18","Lebanon","53.619026473818","53.619026473818","53.619026473818","53.619026473818","53.619026473818",NA,"Sink","critical ecosystems","critical ecosystems","Asia"
"19","Lebanon","25.0060096244074","29.6445416267326","25.8928278532111","29.5163173929701","27.0354615821587","18.7561855504233","Sink","Sink","Sink","Asia"
"20","Lebanon","45.4984562815597","46.9257284680758","46.000163953023","46.1680541521227","45.9229179497013","44.7520292425569","Life support","ecosystem health","ecosystem health","Asia"
"21","Lebanon","45.4984562815597","46.9257284680758","46.000163953023","46.1680541521227","45.9229179497013","44.7520292425569","Life support","Life support","Life support","Asia"
"22","Lebanon","43.5932395455993","44.3508005105601","45.4499353631645","44.5593215182862","44.3572775877871","44.3572775877871","Human health and welfare","human health","human health","Asia"
"23","Lebanon",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Asia"
"24","Lebanon","43.5932395455993","44.3508005105601","45.4499353631645","44.5593215182862","44.3572775877871","44.3572775877871","Human health and welfare","Human health and welfare","Human health and welfare","Asia"
"25","Lebanon","35.0777630065898","37.0451319581257","35.844901743521","36.8888349171046","35.9990796559919","32.6429872289977","13","SESI layer","SESI layer","Asia"
