"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Liberia","45.8560166666667","43.60002","41.3440233333333","39.0880266666667","36.83203","34.5760333333333","Source","renewable ressources","state of forest reccources","Africa"
"2","Liberia","59.283","59.283","59.283","59.283","59.283","59.283","Source","renewable ressources","Proportion of fish stocks not overexploited","Africa"
"3","Liberia","100","100","100","100","100","100","Source","renewable ressources","Surfacewater Stress","Africa"
"4","Liberia",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Africa"
"5","Liberia","100","100","100","100","100","100","Source","non-renewables ressources","area with tolerable erosion","Africa"
"6","Liberia","100","100","100","100","100","100","Sink","global System","CO2 emissions [tonnes per capita]","Africa"
"7","Liberia","7.0843128036358","15.7193229901269","31.5005485033694","47.2817740166118","77.0576712114089","34.8624754420432","Sink","global System","Consumption of HCFC in ODP per capita","Africa"
"8","Liberia",NA,NA,NA,NA,NA,"68.3175","Sink","critical ecosystems","Proportion of surface water in good chemical status","Africa"
"9","Liberia","67.7445633333333","67.42604","67.0680625","66.6902375","66.2766983333333","65.8462441666667","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa"
"10","Liberia","80.3445","84.42","84.648","77.162","72.0415","71.3385","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa"
"11","Liberia","5","5","5","5","5","5","Human health and welfare","human health","Concentrations of PM2.5","Africa"
"12","Liberia","64.780182396026","63.699929809412","62.581740390503","61.4220970104393","60.2169298794005","58.9614896071243","Source","renewable ressources","renewable ressources","Africa"
"13","Liberia","100","100","100","100","100","100","Source","non-renewable ressources","non-renewable ressources","Africa"
"14","Liberia","80.4861369404856","79.8122357846289","79.108621774433","78.3722508356365","77.599568220062","76.7863852561926","Source","Source","Source","Africa"
"15","Liberia","26.6163724117991","39.6476014282414","56.125349445121","68.7617437363334","87.7824989456377","59.0444539665185","Sink","global System","global System","Africa"
"16","Liberia",NA,NA,NA,NA,NA,"68.3175","Sink","critical ecosystems","critical ecosystems","Africa"
"17","Liberia","26.6163724117991","39.6476014282414","56.125349445121","68.7617437363334","87.7824989456377","63.511963312888","Sink","Sink","Sink","Africa"
"18","Liberia","73.7760331593872","75.4460489144395","75.3470460900758","71.7352919139178","69.0990069608879","68.5373787759917","Life support","ecosystem health","ecosystem health","Africa"
"19","Liberia","73.7760331593872","75.4460489144395","75.3470460900758","71.7352919139178","69.0990069608879","68.5373787759917","Life support","Life support","Life support","Africa"
"20","Liberia","5","5","5","5","5","5","Human health and welfare","human health","human health","Africa"
"21","Liberia",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Africa"
"22","Liberia","5","5","5","5","5","5","Human health and welfare","Human health and welfare","Human health and welfare","Africa"
"23","Liberia","29.81527456297","33.0539392999983","35.9629060026432","37.2866201854615","39.1676273146864","35.9550017449872","11","SESI layer","SESI layer","Africa"
