"","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent"
"1","Libya","100","100","100","100","100","100","Source","renewable ressources","state of forest reccources","Africa"
"2","Libya","40.948","40.948","40.625","40.625","40.625","40.625","Source","renewable ressources","Proportion of fish stocks not overexploited","Africa"
"3","Libya","5","5","5","5","5","5","Source","renewable ressources","Surfacewater Stress","Africa"
"4","Libya","5","5","5","5","5","5","Source","renewable ressources","Groundwater stress","Africa"
"5","Libya","100","100","100","100","100","100","Source","non-renewables ressources","area with tolerable erosion","Africa"
"6","Libya","5","5","5","5","5","5","Sink","global System","CO2 emissions [tonnes per capita]","Africa"
"7","Libya","5","5","5","31.6125960928133","31.7019300843971","7.413602162796","Sink","global System","Consumption of HCFC in ODP per capita","Africa"
"8","Libya","100","100","100","100","100","100","Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa"
"9","Libya","69.334","67.5575","66.5885","68.156","65.686","66.4555","Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa"
"10","Libya","23.7783333333333","20.6116666666667","25.8366666666667","19.535","21.34","21.34","Human health and welfare","human health","Concentrations of PM2.5","Africa"
"11","Libya","17.8872334799507","17.8872334799507","17.8518547943778","17.8518547943778","17.8518547943778","17.8518547943778","Source","renewable ressources","renewable ressources","Africa"
"12","Libya","100","100","100","100","100","100","Source","non-renewable ressources","non-renewable ressources","Africa"
"13","Libya","42.2933014553732","42.2933014553732","42.2514553528962","42.2514553528962","42.2514553528962","42.2514553528962","Source","Source","Source","Africa"
"14","Libya","5","5","5","12.5723100687211","12.5900615733993","6.08835041813298","Sink","global System","global System","Africa"
"15","Libya",NA,NA,NA,NA,NA,NA,"Sink","critical ecosystems","critical ecosystems","Africa"
"16","Libya","5","5","5","12.5723100687211","12.5900615733993","6.08835041813298","Sink","Sink","Sink","Africa"
"17","Libya","83.2670402980675","82.1933695622707","81.6017769414368","82.5566472187431","81.046900002406","81.5202428848197","Life support","ecosystem health","ecosystem health","Africa"
"18","Libya","83.2670402980675","82.1933695622707","81.6017769414368","82.5566472187431","81.046900002406","81.5202428848197","Life support","Life support","Life support","Africa"
"19","Libya","23.7783333333333","20.6116666666667","25.8366666666667","19.535","21.34","21.34","Human health and welfare","human health","human health","Africa"
"20","Libya",NA,NA,NA,NA,NA,NA,"Human health and welfare","landscape and amenity","landscape and amenitys","Africa"
"21","Libya","23.7783333333333","20.6116666666667","25.8366666666667","19.535","21.34","21.34","Human health and welfare","Human health and welfare","Human health and welfare","Africa"
"22","Libya","25.4374769357315","24.4651493839187","25.8337197428469","30.4232463929616","30.9706334014625","25.8642743519153","10","SESI","SESI","Africa"
